bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
K000397,Young,Kim,Young Kim,10/18/62,62,"62 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Young,,Kim,,Young,,Kim,Mrs.,,,,,"Incheon, South Korea","B.B.A., University of Southern California, Los Angeles, Calif., 1985",
K000383,Angus,King,Angus King,3/31/44,81,"81 years, 6 months",1/3/13,152,12.67,"12 years, 8 months",Angus,Stanley,King,,Angus,Stanley,King,,Jr.,,,,"Alexandria, Va","graduated Dartmouth College, B.A., 1966; graduated University of Virginia, J.D., 1969",
K000367,Amy,Klobuchar,Amy Klobuchar,5/25/60,65,"65 years, 4 months",1/3/07,224,18.67,"18 years, 8 months",Amy,,Klobuchar,,Amy,,Klobuchar,,,,,,"Plymouth, Minn","attended the public schools in Plymouth; graduated magna cum laude Yale University 1982; J.D., University of Chicago 1985; attorney and law partner",
K000405,Brad,Knott,Brad Knott,4/17/86,39,"39 years, 5 months",1/3/25,8,0.67,8 months,Brad,,Knott,,Brad,,Knott,,,,,,"Raleigh, Wake County, N.C","s School, Raleigh, N.C., 2005; B.A., Baylor University, Waco, Tex., 2009; J.D., Wake Forest University, Winston-Salem, N.C., 2012",
K000391,Raja,Krishnamoorthi,Raja Krishnamoorthi,7/19/73,52,"52 years, 2 months",1/3/17,104,8.67,"8 years, 8 months",S.,Raja,Krishnamoorthi,,S.,Raja,Krishnamoorthi,,,,,,"New Delhi, India","graduated from Richwoods High School, Peoria, Ill., 1991; B.A., Princeton University, Princeton, N.J., 1995; J.D., Harvard Law School, Cambridge, Mass., 2000",
K000392,David,Kustoff,David Kustoff,10/8/66,58,"59 years",1/3/17,104,8.67,"8 years, 8 months",David,,Kustoff,,David,,Kustoff,,,,,,"Memphis, Shelby County, Tenn","graduated from White Station High School, Memphis, Tenn., 1985; B.B.A., University of Memphis, Memphis, Tenn., 1989; J.D., University of Memphis, Memphis, Tenn., 1992",
L000585,Darin,LaHood,Darin LaHood,7/5/68,57,"57 years, 3 months",9/17/15,120,10,10 years,Darin,,Lahood,,Darin,,Lahood,,,,,,"Peoria, Peoria County, Ill","graduated from Spalding Institute, Peoria, Ill., 1986; B.A., Loras College, Dubuque, Iowa, 1990; J.D., John Marshall Law School, Chicago, Ill., 1997; adjunct professor, University of Nevada, Las Vegas, Nev., 2003-2005",
L000598,Nick,LaLota,Nick LaLota,6/23/78,47,"47 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Nicholas,,LaLota,,Nicholas,,LaLota,,,,Navy,Yes,"Bay Shore, Suffolk County, N.Y","graduated from St. Anthony's High School, South Huntington, N.Y.; B.S., United States Naval Academy, Annapolis, Md., 2000; M.B.A., Hofstra University, Hempstead, N.Y., 2012; J.D., Hofstra University, Hempstead, N.Y., 2020",
L000578,Doug,LaMalfa,Doug LaMalfa,7/2/60,65,"65 years, 3 months",1/3/13,152,12.67,"12 years, 8 months",Doug,,Lamalfa,,Doug,,Lamalfa,,,,,,"Oroville, Butte County, Calif","attended Las Plumas High School, Oroville, Calif.; graduated from Biggs High School, Biggs, Calif., 1978; A.A., Butte College, Oroville, Calif., 1980; B.S., California Polytechnic State University, San Luis Obispo, Calif., 1982",
L000601,Greg,Landsman,Greg Landsman,12/4/76,48,"48 years, 10 months",1/3/23,32,2.67,"2 years, 8 months",Greg,,Landsman,,Greg,,Landsman,,,,,,"Cincinnati, Hamilton County, Ohio","graduated from Talawanda High School, Oxford, Ohio, 1995; B.A., Ohio University, Athens, Ohio, 1999; M.A., Harvard University, Cambridge, Mass., 2004",
L000600,Nick,Langworthy,Nick Langworthy,2/27/81,44,"44 years, 7 months",1/3/23,32,2.67,"2 years, 8 months",Nicholas,A.,Langworthy,,Nicholas,A.,Langworthy,,,,,,"Jamestown, Chautauqua County, N.Y","graduated from Pine Valley Central School, South Dayton, N.Y., 1999; B.A., Niagara University, Lewiston, N.Y., 2003",
L000575,James,Lankford,James Lankford,3/4/68,57,"57 years, 7 months",1/3/15,128,10.67,"10 years, 8 months",James,,Lankford,,James,,Lankford,,,,,,"Dallas, Dallas County, Tex","B.S., University of Texas, Austin, Tex., 1990; M.Div., Southwestern Theological Baptist Seminary, Ft. Worth, Tex., 1994",
L000560,Rick,Larsen,Rick Larsen,6/15/65,60,"60 years, 4 months",1/3/01,296,24.67,"24 years, 8 months",Richard,Ray,Larsen,Rick,Richard,Ray,Larsen,,,,,,"Arlington, Snohomish County, Wash","graduated from Arlington High School, Arlington, Wash., 1983; B.A., Pacific Lutheran University, Tacoma, Wash., 1987; M.P.A., University of Minnesota, Minneapolis, Minn., 1990",
L000557,John B.,Larson,John B. Larson,7/22/48,77,"77 years, 2 months",1/3/99,320,26.67,"26 years, 8 months",John,B.,Larson,,John,B.,Larson,,,,,,"Hartford, Hartford County, Conn","graduated East Hartford High School, Hartford, Conn., 1967; B.A., Central Connecticut University, New Britain, Conn., 1971; member of the East Hartford, Conn., board of education, 1977-1979",
L000606,George,Latimer,George Latimer,11/22/53,71,"71 years, 10 months",1/3/25,8,0.67,8 months,George,,Latimer,,George,,Latimer,,,,,,"Mount Vernon, Westchester County, N.Y","graduated from Mount Vernon High School, Mount Vernon, N.Y., 1970; B.A., Fordham University, New York, N.Y., 1974; M.P.A., New York University, New York, N.Y., 1976",
L000566,Bob,Latta,Bob Latta,4/18/56,69,"69 years, 5 months",12/13/07,213,17.75,"17 years, 9 months",Robert,E.,Latta,,Robert,E.,Latta,,,,,,"Bluffton, Allen County, Ohio","B.A., Bowling Green State University, Bowling Green, Ohio, 1978; J.D., University of Toledo, Toledo, Ohio, 1981",
L000599,Mike,Lawler,Mike Lawler,9/9/86,39,"39 years, 1 months",1/3/23,32,2.67,"2 years, 8 months",Michael,,Lawler,,Michael,,Lawler,,,,,,"Suffern, Rockland County, N.Y","graduated from Suffern High School, Suffern, N.Y., 2005; B.A., Manhattan College, New York City, N.Y., 2009",
L000577,Mike,Lee,Mike Lee,6/4/71,54,"54 years, 4 months",1/3/11,176,14.67,"14 years, 8 months",Mike,,Lee,,Mike,,Lee,,,,,,"Mesa, Ariz","graduated Brigham Young University, B.A., 1994; graduated Brigham Young University, J.D., 1997; law clerk to 3rd Circuit Court of Appeals Justice Samuel Alito 1998; law clerk to United States Supreme Court Justice Samuel Alito 2006-2007",
L000597,Laurel,Lee,Laurel Lee,3/26/74,51,"51 years, 6 months",1/3/23,32,2.67,"2 years, 8 months",Laurel,,Lee,,Laurel,,Lee,,,,,,"Cleveland, Cuyahoga County, Ohio","B.A., University of Florida, Gainesville, Fla.; J.D., University of Florida, Gainesville, Fla., 1999; law clerk, United States District Court Judge James S. Moody Jr.",
L000590,Susie,Lee,Susie Lee,11/7/66,58,"58 years, 11 months",1/3/19,80,6.67,"6 years, 8 months",Susie,,Lee,,Susie,,Lee,,,,,,"Canton, Stark County, Ohio","graduated from McKinley High School, Canton, Ohio; B.A., Carnegie Mellon University, Pittsburgh, Pa., 1989; M.P.M., Carnegie Mellon University, Pittsburgh, Pa., 1990",
L000602,Summer,Lee,Summer Lee,11/26/87,37,"37 years, 10 months",1/3/23,32,2.67,"2 years, 8 months",Summer,,Lee,,Summer,,Lee,,,,,,"North Braddock, Allegheny County, Pa","graduated from Woodland Hills High School, Pittsburgh, Pa., 2005; B.A., Pennsylvania State University, University Park, Pa., 2009; J.D., Howard University, Washington, D.C., 2015",
L000595,Julia,Letlow,Julia Letlow,3/16/81,44,"44 years, 6 months",4/14/21,53,4.42,"4 years, 5 months",Julia,,Letlow,,Julia,,Letlow,,,,,,"Monroe, Ouachita Parish, La","graduated from Ouachita Christian High School, Monroe, La.; B.A., University of Louisiana, Monroe, La., 2002; M.A., University of Louisiana, Monroe, La., 2005; Ph.D., University of South Florida, Tampa, Fla., 2011; ombudsperson and special projects coordinator, University of Louisiana, Monroe, La.; director, education, resident patient safety, and quality improvement, and clinical instructor, Tulane University, New Orleans, La.; director, marketing and communications, University of Louisiana, Monroe, La.; executive director, external affairs and strategic communications, University of Louisiana, Monroe, La., 2018-2019; executive assistant to president for external affairs and community outreach, University of Louisiana, Monroe, La.",
L000593,Mike,Levin,Mike Levin,10/20/78,46,"46 years, 11 months",1/3/19,80,6.67,"6 years, 8 months",Mike,,Levin,,Mike,,Levin,,,,,,"Inglewood, Los Angeles County, Calif","graduated from Loyola High School, Los Angeles, Calif., 1997; B.A., Stanford University, Stanford, Calif., 2001; J.D., Duke University, Raleigh, N.C., 2005",
L000607,Sam,Liccardo,Sam Liccardo,4/16/70,55,"55 years, 5 months",1/3/25,8,0.67,8 months,Sam,T.,Liccardo,,Sam,T.,Liccardo,,,,,,"Saratoga, Santa Clara County, Calif","graduated from Bellarmine College Preparatory, San Jose, Calif., 1987; A.B., Georgetown University, Washington, D.C., 1991; M.P.P., Harvard University, Cambridge, Mass., 1996; J.D., Harvard University, Cambridge, Mass., 1996",
L000582,Ted,Lieu,Ted Lieu,3/29/69,56,"56 years, 6 months",1/3/15,128,10.67,"10 years, 8 months",Ted,,Lieu,,Ted,,Lieu,,,,Air Force Air Force Reserve,Yes,"Taipei, Taiwan","graduated from St. Ignatius High School, Cleveland, Ohio, 1987; B.A., Stanford University, Stanford, Calif., 1991; B.S., Stanford University, Stanford, Calif., 1991; J.D., Georgetown University, Washington, D.C., 1994",
L000397,Zoe,Lofgren,Zoe Lofgren,12/21/47,77,"77 years, 9 months",1/3/95,368,30.67,"30 years, 8 months",Zoe,,Lofgren,,Zoe,,Lofgren,,,,,,"San Mateo, San Mateo County, Calif","graduated from Gunn High School, Palo Alto, Calif., 1966; B.A., Stanford University, Stanford, Calif., 1970; J.D., Santa Clara University School of Law, Santa Clara, Calif., 1975; faculty, Santa Clara University School of Law, Santa Clara, Calif., 1978-1980",
L000583,Barry,Loudermilk,Barry Loudermilk,12/22/63,61,"61 years, 9 months",1/3/15,128,10.67,"10 years, 8 months",Barry,D.,Loudermilk,,Barry,D.,Loudermilk,,,,Air Force,Yes,"Riverdale, Clayton County, Ga","A.A., United States Air Force Community College, 1987; B.S., Wayland Baptist University, Plainview, Tex., 1992",
L000491,Frank,Lucas,Frank Lucas,1/6/60,65,"65 years, 9 months",5/10/94,376,31.33,"31 years, 4 months",Frank,D.,Lucas,,Frank,D.,Lucas,,,,,,"Cheyenne, Roger Mills County, Okla","graduated from Cheyenne High School, Cheyenne, Okla., 1978; B.S., Oklahoma State University, Stillwater, Okla., 1982",
L000570,Ben Ray,Luján,Ben Ray Luján,6/7/72,53,"53 years, 4 months",1/3/21,56,4.67,"4 years, 8 months",Ben,Ray,Lujan,,Ben,Ray,Lujan,,,,,,"Santa Fe, Santa Fe County, N.Mex","graduated from Pojoaque Valley High School, Santa Fe, N. Mex., 1990; attended University of New Mexico, Albuquerque, N.Mex., 1990-1995; B.B.A., New Mexico Highlands University, Las Vegas, N.Mex., 2007",
L000571,Cynthia,Lummis,Cynthia Lummis,9/10/54,71,"71 years, 1 months",1/3/21,56,4.67,"4 years, 8 months",Cynthia,M.,Lummis,,Cynthia,M.,Lummis,,,,,,"Cheyenne, Laramie County, Wyo","graduated from East High School, Cheyenne, Wyo., 1972; B.S., University of Wyoming, Laramie, Wyo., 1976; B.A., University of Wyoming, 1978; J.D., University of Wyoming College of Law, Laramie, Wyo., 1985",
L000596,Anna Paulina,Luna,Anna Paulina Luna,5/6/89,36,"36 years, 5 months",1/3/23,32,2.67,"2 years, 8 months",Anna,,Luna,,Anna,,Luna,,,,Air Force Oregon Air National Guard,Yes,"Santa Ana, Orange County, Calif","B.S., University of West Florida, Pensacola, Fla., 2018",
L000603,Morgan,Luttrell,Morgan Luttrell,11/7/75,49,"49 years, 11 months",1/3/23,32,2.67,"2 years, 8 months",Morgan,,Luttrell,,Morgan,,Luttrell,,,,Navy,Yes,"Houston, Harris County, Tex","graduated from Willis High School, Willis, Tex.; B.S., Sam Houston State University, Huntsville, Tex., 2000; M.S., University of Texas at Dallas, Richardson, Tex., 2016; attended Harvard University, Cambridge Mass.; adjunct professor, Sam Houston State University, Huntsville, Tex.",
L000562,Stephen F.,Lynch,Stephen F. Lynch,3/31/55,70,"70 years, 6 months",10/16/01,287,23.92,"23 years, 11 months",Stephen,F.,Lynch,,Stephen,F.,Lynch,,,,,,"Boston, Suffolk County, Mass","graduated from South Boston High School, Boston, Mass., 1973; B.S., Wentworth Institute, Boston, Mass., 1988; J.D., Boston College, Chestnut Hill, Mass., 1991; M.A., Harvard University, Cambridge, Mass., 1998",
M000194,Nancy,Mace,Nancy Mace,12/4/77,47,"47 years, 10 months",1/3/21,56,4.67,"4 years, 8 months",Nancy,,Mace,,Nancy,,Mace,Ms.,,,,,"Fayetteville, Cumberland County, N.C","attended Stratford High School, Goose Creek, S.C.; graduated high school, 1995; attended Trident Technical College, Charleston, S.C.; B.A., The Citadel, The Military College of South Carolina, Charleston, S.C., 1999; M.S., University of Georgia, Athens, Ga., 2004",
M001230,Ryan,Mackenzie,Ryan Mackenzie,8/3/82,43,"43 years, 2 months",1/3/25,8,0.67,8 months,Ryan,,Mackenzie,,Ryan,,Mackenzie,,,,,,"Allentown, Lehigh County, Pa","graduated from Parkland High School, Allentown, Pa., 2000; B.S., New York University, New York, N.Y., 2004; M.B.A., Harvard University, Cambridge, Mass., 2010",
M001223,Seth,Magaziner,Seth Magaziner,7/22/83,42,"42 years, 2 months",1/3/23,32,2.67,"2 years, 8 months",Seth,,Magaziner,,Seth,,Magaziner,,,,,,"Bristol, Bristol County, R.I","graduated from Milton Academy, Milton, Mass., 2002; B.A., Brown University, Providence, R.I., 2006; M.B.A., Yale University, New Haven, Conn., 2010",
M000317,Nicole,Malliotakis,Nicole Malliotakis,11/11/80,44,"44 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Nicole,,Malliotakis,,Nicole,,Malliotakis,Ms.,,,,,"Manhattan, New York County, N.Y","graduated from New Dorp High School, Staten Island, N.Y., 1998; B.A., Seton Hall University, South Orange, N.J., 2001; M.B.A., Wagner University, Staten Island, N.Y., 2010",
M001228,Celeste,Maloy,Celeste Maloy,5/22/81,44,"44 years, 4 months",11/28/23,22,1.83,"1 year, 10 months",Celeste,,Maloy,,Celeste,,Maloy,,,,,,"Cedar City, Iron County, Utah","graduated from Pahranagat Valley High School, Alamo, Nev.; B.S., Southern Utah University, Cedar City, Utah, 2003; J.D., Brigham Young University, J. Reuben Clark Law School, Provo, Utah, 2015",
M000871,Tracey,Mann,Tracey Mann,12/17/76,48,"48 years, 9 months",1/3/21,56,4.67,"4 years, 8 months",Tracey,,Mann,,Tracey,,Mann,Mr.,,,,,"Quinter, Gove County, Kans","graduated from Quinter High School, Quinter, Kans.; B.A., Kansas State University, Manhattan, Kans., 2000",
M001231,John,Mannion,John Mannion,7/8/68,57,"57 years, 3 months",1/3/25,8,0.67,8 months,John,W.,Mannion,,John,W.,Mannion,,,,,,"Syracuse, Onondaga County, N.Y","graduated from Bishop Ludden Junior-Senior High School, Syracuse, N.Y., 1986; B.A., Binghamton University, Binghamton, N.Y.; M.S., State University of New York at Oswego, Oswego, N.Y.",
M000133,Ed,Markey,Ed Markey,7/11/46,79,"79 years, 3 months",7/16/13,146,12.17,"12 years, 2 months",Edward,John,Markey,,Edward,John,Markey,,,,,,"Malden, Middlesex County, Mass","attended Immaculate Conception Grammar School, Malden, Mass.; graduated from Malden Catholic High School, Malden, Mass., 1964; B.A., Boston College, Chestnut Hill, Mass., 1968; J.D., Boston College Law School, Chestnut Hill, Mass., 1972",
M001198,Roger,Marshall,Roger Marshall,8/9/60,65,"65 years, 2 months",1/3/21,56,4.67,"4 years, 8 months",Roger,Wayne,Marshall,,Roger,Wayne,Marshall,,,,,,"El Dorado, Butler County, Kans","graduated from El Dorado High School, El Dorado, Kans., 1978; A.S., Butler Community College, El Dorado, Kans., 1980; B.S., Kansas State University, Manhattan, Kan; M.D. University of Kansas School of Medicine, Kansas City, Kans, 1987",
M001184,Thomas,Massie,Thomas Massie,1/13/71,54,"54 years, 9 months",11/13/12,154,12.83,"12 years, 10 months",Thomas,,Massie,,Thomas,,Massie,,,,,,"Huntington, Cabell County, W.Va","graduated from Lewis County High School, Vanceburg, Ky.; S.B., Massachusetts Institute of Technology, Cambridge, Mass., 1993; S.M., Massachusetts Institute of Technology, Cambridge, Mass., 1996",
M001199,Brian,Mast,Brian Mast,7/10/80,45,"45 years, 3 months",1/3/17,104,8.67,"8 years, 8 months",Brian,Jeffrey,Mast,,Brian,Jeffrey,Mast,,,,Army,Yes,"Grand Rapids, Kent County, Mich","graduated from South Christian High School, Grand Rapids, Mich., 1999; attended Palm Beach Atlantic University, West Palm Beach, Fla., 2000-2002; attended American Military University, Charles Town, W.Va., 2008-2010; A.L.B., Harvard University Extension School, Cambridge, Mass., 2016",
M001163,Doris,Matsui,Doris Matsui,9/25/44,81,"81 years",3/10/05,246,20.5,"20 years, 6 months",Doris,,Matsui,,Doris,,Matsui,,,,,,"Poston, La Paz County, Ariz","B.A., University of California, Berkeley, Calif., 1966",
M001208,Lucy,McBath,Lucy McBath,6/1/60,65,"65 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",Lucy,,Mcbath,,Lucy,,Mcbath,,,,,,"Joliet, Will County, Ill","B.A., Virginia State University, Petersburg, Va., 1982",
M001238,Sarah,McBride,Sarah McBride,8/9/90,35,"35 years, 2 months",1/3/25,8,0.67,8 months,Sarah,,McBride,,Sarah,,McBride,,,,,,"Wilmington, New Castle County, Del","graduated from Cab Calloway School of the Arts, Wilmington, Del., 2009; B.A., American University, Washington, D.C., 2013",
M001157,Michael,McCaul,Michael McCaul,1/14/62,63,"63 years, 9 months",1/3/05,248,20.67,"20 years, 8 months",Michael,T.,McCaul,,Michael,T.,McCaul,,,,,,"Dallas, Dallas County, Tex","graduated from Jesuit College Preparatory School, Dallas, Tex., 1980; B.S., Trinity University, San Antonio, Tex., 1984; J.D., St. Mary's University, San Antonio, Tex., 1987",
M001136,Lisa,McClain,Lisa McClain,4/7/66,59,"59 years, 6 months",1/3/21,56,4.67,"4 years, 8 months",Lisa,C.,McClain,,Lisa,C.,McClain,Mrs.,,,,,"Stockbridge, Ingham County, Mich","graduated from Stockbridge High School, Stockbridge, Mich., 1984; attended Lansing Community College, Lansing, Mich.; B.B.A., Northwood University, Midland, Mich., 1997",
M001227,Jennifer,McClellan,Jennifer McClellan,12/28/72,52,"52 years, 9 months",3/7/23,30,2.5,"2 years, 6 months",Jennifer,,McClellan,,Jennifer,,McClellan,,,,,,"Petersburg, Va","graduated from Matoaca High School, Chesterfield County, Va., 1990; B.A., University of Richmond, Richmond, Va., 1994; J.D., University of Virginia, Charlottesville, Va., 1997",
M001177,Tom,McClintock,Tom McClintock,7/10/56,69,"69 years, 3 months",1/3/09,200,16.67,"16 years, 8 months",Tom,,McClintock,,Tom,,McClintock,,,,,,"Bronxville, Westchester County, N.Y","B.A., University of California, Los Angeles, Calif., 1978",
M001143,Betty,McCollum,Betty McCollum,7/12/54,71,"71 years, 3 months",1/3/01,296,24.67,"24 years, 8 months",Betty,,McCollum,,Betty,,McCollum,,,,,,"Minneapolis, Hennepin County, Minn","graduated from South St. Paul High School, St. Paul, Minn., 1972; A.A., Inver Hills Community College, Inver Grove Heights, Minn., 1980; B.A., College of St. Catherine, St. Paul, Minn., 1987",
M000355,Mitch,McConnell,Mitch McConnell,2/20/42,83,"83 years, 7 months",1/3/85,488,40.67,"40 years, 8 months",Addison,Mitchell,McConnell,Mitch,Addison,Mitchell,McConnell,,,,,,"Tuscumbia, Colbert County, Ala","attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967",
M001243,Dave,McCormick,Dave McCormick,8/17/65,60,"60 years, 1 months",1/3/25,8,0.67,8 months,David,Harold,McCormick,,David,Harold,McCormick,,,,,,"Washington, Penn","graduated Bloomsburg High School, Bloomsburg, Penn., 1983; B.S., mechanical engineering, United States Military Academy, West Point, 1987; M.P.A., Princeton University, 1994; Ph.D., international relations, Princeton University, 1996",
M001218,Rich,McCormick,Rich McCormick,10/7/68,56,"57 years",1/3/23,32,2.67,"2 years, 8 months",Rich,,McCormick,,Rich,,McCormick,,,,Marine Corps Navy,Yes,"Las Vegas, Clark County, Nev","graduated from Central Catholic High School, Portland, Oreg., 1986; B.S., Oregon State University, Corvallis, Oreg., 1990; M.B.A., National University, San Diego, Calif.; M.D., Morehouse School of Medicine, Atlanta, Ga., 2010; instructor, Morehouse College, Atlanta, Ga.; instructor, Georgia Institute of Technology, Atlanta, Ga.",
M001240,Addison,McDowell,Addison McDowell,1/21/94,31,"31 years, 8 months",1/3/25,8,0.67,8 months,Addison,P.,McDowell,,Addison,P.,McDowell,,,,,,"Whiteville, Columbus County, N.C","graduated from North Davidson High School, Lexington, N.C., 2012; B.A., University of North Carolina, Charlotte, N.C., 2016",
M001220,Morgan,McGarvey,Morgan McGarvey,12/23/79,45,"45 years, 9 months",1/3/23,32,2.67,"2 years, 8 months",Morgan,,McGarvey,,Morgan,,McGarvey,,,,,,"Louisville, Jefferson County, Ky","graduated from duPont Manual High School, Louisville, Ky., 1998; B.A., University of Missouri, Columbia, Missouri, 2002; J.D., University of Kentucky, Lexington, Kentucky, 2007",
M000312,Jim,McGovern,Jim McGovern,11/20/59,65,"65 years, 10 months",1/3/97,344,28.67,"28 years, 8 months",James,P.,McGovern,,James,P.,McGovern,,,,,,"Worcester, Worcester County, Mass","graduated from Worcester Academy, Worcester, Mass, 1977; B.A., American University, Washington, D.C., 1981; M.P.A., American University, Washington, D.C., 1984",
M001239,John,McGuire,John McGuire,8/24/68,57,"57 years, 1 months",1/3/25,8,0.67,8 months,John,J.,McGuire,,John,J.,McGuire,,III,,Navy,Yes,"Richmond, Henrico County, Va","graduated from Henrico High School, Henrico, Va., 1988; attended Okaloosa Walton Community College, Niceville, Fla.",
M001229,LaMonica,McIver,LaMonica McIver,6/20/86,39,"39 years, 3 months",9/23/24,12,1,1 year,LaMonica,,McIver,,LaMonica,,McIver,,,,,,"Newark, Essex County, N.J., on June 20","graduated from Central High School, Newark, N.J., 2004; B.A., Bloomfield College, Bloomfield, N.J., 2008; M.A., Seton Hall University, South Orange, N.J., 2011",
M001137,Gregory,Meeks,Gregory Meeks,9/25/53,72,"72 years",2/5/98,331,27.58,"27 years, 7 months",Gregory,W.,Meeks,,Gregory,W.,Meeks,,,,,,"East Harlem, New York County, N.Y","graduated from Julia Richman High School, New York, N.Y., 1971; B.A., Adelphi University, Garden City, N.Y., 1975; J.D., Howard University, Washington, D.C., 1978",
M001226,Rob,Menendez,Rob Menendez,7/12/85,40,"40 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Robert,,Menendez,,Robert,,Menendez,,,,,,"Englewood, Bergen County, N.J","graduated from the Hudson School, Hoboken, N.J., 2003; B.A., University of North Carolina at Chapel Hill, Chapel Hill, N.C., 2008; J.D., Rutgers Law School, Newark, N.J., 2011",
M001188,Grace,Meng,Grace Meng,10/1/75,49,"50 years",1/3/13,152,12.67,"12 years, 8 months",Grace,,Meng,,Grace,,Meng,,,,,,"Queens, Queens County, N.Y","graduated from Stuyvesant High School, New York, N.Y., 1993; A.B., University of Michigan, Ann Arbor, Mich., 1997; J.D., Yeshiva University, New York City, N.Y., 2002",
M001176,Jeff,Merkley,Jeff Merkley,10/24/56,68,"68 years, 11 months",1/3/09,200,16.67,"16 years, 8 months",Jeff,,Merkley,,Jeff,,Merkley,,,,,,"Myrtle Creek, Ore","B.A., Stanford University, 1979; M.P.A., Princeton University, 1982",
M001233,Mark,Messmer,Mark Messmer,12/16/67,57,"57 years, 9 months",1/3/25,8,0.67,8 months,Mark,B.,Messmer,,Mark,B.,Messmer,,,,,,,"graduated from Jasper High School, Jasper, Ind., 1981; B.S., Purdue University, West Lafayette, Ind., 1985",
M001204,Dan,Meuser,Dan Meuser,2/10/64,61,"61 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",Dan,,Meuser,,Dan,,Meuser,,,,,,"Flushing, Queens County, N.Y","graduated from Babylon High School, Babylon, N.Y. 1982; attended New York Maritime University (now SUNY Maritime College), Bronx, N.Y., 1982-1983; B.A., Cornell University, Ithaca, N.Y., 1986",
M000687,Kweisi,Mfume,Kweisi Mfume,10/24/48,76,"76 years, 11 months",5/5/20,64,5.33,"5 years, 4 months",Kweisi,,Mfume,,Kweisi,,Mfume,,,,,,"Baltimore, Md","graduated Frederick Douglass High School, Baltimore, Md., 1972; B.S., Morgan State University, Baltimore, Md., 1976; M.A., Johns Hopkins University, Baltimore, Md., 1984; assistant professor, Morgan State University, Baltimore, Md.",
M001211,Mary,Miller,Mary Miller,8/27/59,66,"66 years, 1 months",1/3/21,56,4.67,"4 years, 8 months",Mary,E.,Miller,,Mary,E.,Miller,Mrs.,,,,,"Oak Park, Cook County, Ill","graduated from Naperville Central High School, Naperville, Ill., 1977; B.S., Eastern Illinois University, Charleston, Ill., 1981",
M001222,Max,Miller,Max Miller,11/13/88,36,"36 years, 11 months",1/3/23,32,2.67,"2 years, 8 months",Max,,Miller,,Max,,Miller,,,,Marine Corps Reserve,Yes,Ohio,"graduated from Shaker Heights High School, Shaker Heights, Ohio, 2007; attended University of Arizona, Tucson, Ariz.; B.A., Cleveland State University, Cleveland, Ohio, 2013",
M001205,Carol,Miller,Carol Miller,11/4/50,74,"74 years, 11 months",1/3/19,80,6.67,"6 years, 8 months",Carol,,Miller,,Carol,,Miller,,,,,,"Columbus, Franklin County, Ohio","graduated from Bexley High School, Bexley, Ohio, 1968; B.S., Columbia College, Columbia, S.C., 1972",
M001215,Mariannette,Miller-Meeks,Mariannette Miller-Meeks,9/6/55,70,"70 years, 1 months",1/3/21,56,4.67,"4 years, 8 months",Mariannette,,Miller-Meeks,,Mariannette,,Miller-Meeks,Mrs.,,,Army Army Reserve,Yes,"Herlong, Lassen County, Calif","attended San Antonio Junior College, San Antonio, Texas; B.S.N., Texas Christian University, Fort Worth, Texas, 1976; M.S., University of Southern California, Los Angeles, Calif., 1980; M.D., University of Texas Health Science Center, San Antonio, Texas, 1986; assistant professor, University of Michigan, 1991-1994; assistant professor, University of Iowa, 1994-1997",
M001216,Cory,Mills,Cory Mills,7/13/80,45,"45 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Cory,,Mills,,Cory,,Mills,,,,Army,Yes,"Winter Haven, Polk County, Fla","A.A., Florida State College, Jacksonville, Fla., 2005; B.S., American Military University, Charles Town, W. Va., 2010",
M001241,Dave,Min,Dave Min,3/5/76,49,"49 years, 7 months",1/3/25,8,0.67,8 months,Dave,,Min,,Dave,,Min,,,,,,Rhode Island,"B.A., University of Pennsylvania, Philadelphia, Pa., 1999; B.S., University of Pennsylvania, Philadelphia, Pa., 1999; J.D., Harvard University, Cambridge, Mass., 2002; faculty, University of California-Irvine, School of Law, Irvine, Calif., 2012-2020",
M001244,Ashley,Moody,Ashley Moody,3/28/75,50,"50 years, 6 months",1/21/25,8,0.67,8 months,Ashley,Brooke,Moody,,Ashley,Brooke,Moody,,,,,,"Plant City, Fla","graduated Plant City High School, 1993; B.S., accounting, University of Florida, 1996; M.A., accounting, University of Florida, 2000; J.D., University of Florida College of Law, 2000; LL.M., international law, Stetson University College of Law, Gulfport, Fla., 2010",
