first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service
Rashida,Tlaib,Rashida Tlaib,7/24/76,49,1/3/19,80,6.67,"6 years, 8 months",House,T000481,,
Jill,Tokuda,Jill Tokuda,3/3/76,49,1/3/23,32,2.67,"2 years, 8 months",House,T000487,,
Paul,Tonko,Paul Tonko,6/18/49,76,1/3/09,200,16.67,"16 years, 8 months",House,T000469,,
Norma,Torres,Norma Torres,4/4/65,60,1/3/15,128,10.67,"10 years, 8 months",House,T000474,,
Ritchie,Torres,Ritchie Torres,3/12/88,37,1/3/21,56,4.67,"4 years, 8 months",House,T000486,,
Lori,Trahan,Lori Trahan,10/27/73,51,1/3/19,80,6.67,"6 years, 8 months",House,T000482,,
Derek,Tran,Derek Tran,12/22/80,44,1/3/25,8,0.67,8 months,House,T000491,Army Army Reserve,Yes
Tommy,Tuberville,Tommy Tuberville,9/18/54,71,1/3/21,56,4.67,"4 years, 8 months",Senate,T000278,,
Mike,Turner,Mike Turner,1/11/60,65,1/3/03,272,22.67,"22 years, 8 months",House,T000463,,
Lauren,Underwood,Lauren Underwood,10/4/86,38,1/3/19,80,6.67,"6 years, 8 months",House,U000040,,
David,Valadao,David Valadao,4/14/77,48,1/3/21,56,4.67,"4 years, 8 months",House,V000129,,
Chris,Van Hollen,Chris Van Hollen,1/10/59,66,1/3/17,104,8.67,"8 years, 8 months",Senate,V000128,,
Juan,Vargas,Juan Vargas,3/7/61,64,1/3/13,152,12.67,"12 years, 8 months",House,V000130,,
Gabe,Vasquez,Gabe Vasquez,8/3/84,41,1/3/23,32,2.67,"2 years, 8 months",House,V000136,,
Marc,Veasey,Marc Veasey,1/3/71,54,1/3/13,152,12.67,"12 years, 8 months",House,V000131,,
Nydia,Velázquez,Nydia Velázquez,3/28/53,72,1/3/93,392,32.67,"32 years, 8 months",House,V000081,,
Eugene,Vindman,Eugene Vindman,6/6/75,50,1/3/25,8,0.67,8 months,House,V000138,Army,Yes
Ann,Wagner,Ann Wagner,9/13/62,63,1/3/13,152,12.67,"12 years, 8 months",House,W000812,,
Tim,Walberg,Tim Walberg,4/12/51,74,1/3/11,176,14.67,"14 years, 8 months",House,W000798,,
James,Walkinshaw,James Walkinshaw,10/2/82,42,9/10/25,0,0,0 months,House,W000831,,
Mark,Warner,Mark Warner,12/15/54,70,1/3/09,200,16.67,"16 years, 8 months",Senate,W000805,,
Raphael,Warnock,Raphael Warnock,7/23/69,56,1/20/21,56,4.67,"4 years, 8 months",Senate,W000790,,
Elizabeth,Warren,Elizabeth Warren,6/22/49,76,1/3/13,152,12.67,"12 years, 8 months",Senate,W000817,,
Maxine,Waters,Maxine Waters,8/15/38,87,1/3/91,416,34.67,"34 years, 8 months",House,W000187,,
Randy,Weber,Randy Weber,7/2/53,72,1/3/13,152,12.67,"12 years, 8 months",House,W000814,,
Daniel,Webster,Daniel Webster,4/27/49,76,1/3/11,176,14.67,"14 years, 8 months",House,W000806,,
Peter,Welch,Peter Welch,5/2/47,78,1/3/23,32,2.67,"2 years, 8 months",Senate,W000800,,
Bruce,Westerman,Bruce Westerman,11/18/67,57,1/3/15,128,10.67,"10 years, 8 months",House,W000821,,
Sheldon,Whitehouse,Sheldon Whitehouse,10/20/55,69,1/3/07,224,18.67,"18 years, 8 months",Senate,W000802,,
George,Whitesides,George Whitesides,3/3/74,51,1/3/25,8,0.67,8 months,House,W000830,,
Roger,Wicker,Roger Wicker,7/5/51,74,12/31/07,212,17.67,"17 years, 8 months",Senate,W000437,,
Tony,Wied,Tony Wied,5/3/76,49,11/12/24,10,0.83,10 months,House,W000829,,
Nikema,Williams,Nikema Williams,7/30/78,47,1/3/21,56,4.67,"4 years, 8 months",House,W000788,,
Roger,Williams,Roger Williams,9/13/49,76,1/3/13,152,12.67,"12 years, 8 months",House,W000816,,
Frederica,Wilson,Frederica Wilson,11/5/42,82,1/3/11,176,14.67,"14 years, 8 months",House,W000808,,
Joe,Wilson,Joe Wilson,7/31/47,78,12/18/01,285,23.75,"23 years, 9 months",House,W000795,Army Reserve South Carolina National Guard,Yes
Rob,Wittman,Rob Wittman,2/3/59,66,12/11/07,213,17.75,"17 years, 9 months",House,W000804,,
Steve,Womack,Steve Womack,2/18/57,68,1/3/11,176,14.67,"14 years, 8 months",House,W000809,Arkansas Army National Guard,Yes
Ron,Wyden,Ron Wyden,5/3/49,76,2/5/96,355,29.58,"29 years, 7 months",Senate,W000779,,
Rudy,Yakym,Rudy Yakym,2/24/84,41,11/14/22,34,2.83,"2 years, 10 months",House,Y000067,,
Todd,Young,Todd Young,8/24/72,53,1/3/17,104,8.67,"8 years, 8 months",Senate,Y000064,,
Ryan,Zinke,Ryan Zinke,11/1/61,63,1/3/23,32,2.67,"2 years, 8 months",House,Z000018,Navy,Yes
