first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service,education
Seth,Moulton,Seth Moulton,10/24/78,46,1/3/15,128,10.67,"10 years, 8 months",House,M001196,Marine Corps,Yes,"Harvard University ( BS , MBA , MPP )"
Frank J.,Mrvan,Frank J. Mrvan,4/16/69,56,1/3/21,56,4.67,"4 years, 8 months",House,,,,Ball State University ( BS )
Markwayne,Mullin,Markwayne Mullin,7/26/77,48,1/3/23,32,2.67,"2 years, 8 months",Senate,M001190,,,
Kevin,Mullin,Kevin Mullin,6/15/70,55,1/3/23,32,2.67,"2 years, 8 months",House,M001225,,,University of San Francisco ( BA ) San Francisco State University ( MPA )
Lisa,Murkowski,Lisa Murkowski,5/22/57,68,12/20/02,273,22.75,"22 years, 9 months",Senate,M001153,,,Georgetown University ( AB ) Willamette University ( JD )
Chris,Murphy,Chris Murphy,8/3/73,52,1/3/13,152,12.67,"12 years, 8 months",Senate,,,,
Greg,Murphy,Greg Murphy,3/5/63,62,9/17/19,72,6,6 years,House,,,,Davidson College ( BA ) University of North Carolina at Chapel Hill ( MD )
Patty,Murray,Patty Murray,10/11/50,74,1/3/93,392,32.67,"32 years, 8 months",Senate,M001111,,,Washington State University ( BA )
Jerry,Nadler,Jerry Nadler,6/13/47,78,11/3/92,394,32.83,"32 years, 10 months",House,,,,Columbia University ( BA ) Fordham University ( JD )
Richard,Neal,Richard Neal,2/14/49,76,1/3/89,440,36.67,"36 years, 8 months",House,N000015,,,Holyoke Community College American International College ( BA ) University of Hartford ( MA )
Joe,Neguse,Joe Neguse,5/13/84,41,1/3/19,80,6.67,"6 years, 8 months",House,N000191,,,"University of Colorado, Boulder ( BA , JD )"
Troy,Nehls,Troy Nehls,4/7/68,57,1/3/21,56,4.67,"4 years, 8 months",House,N000026,Army Reserve Wisconsin National Guard,Yes,Liberty University ( BA ) University of Houston–Downtown ( MA )
Dan,Newhouse,Dan Newhouse,7/10/55,70,1/3/15,128,10.67,"10 years, 8 months",House,N000189,,,Washington State University ( BS )
Donald,Norcross,Donald Norcross,12/13/58,66,11/12/14,130,10.83,"10 years, 10 months",House,N000188,,,Camden County College Rutgers University-Camden
Ralph,Norman,Ralph Norman,6/20/53,72,6/20/17,99,8.25,"8 years, 3 months",House,N000190,,,Presbyterian College ( BS )
Zach,Nunn,Zach Nunn,5/4/79,46,1/3/23,32,2.67,"2 years, 8 months",House,,Air Force Air Force Reserve Iowa Air National Guard,Yes,Drake University ( BA ) Air University ( MMAS ) University of Cambridge ( MSt )
Jay,Obernolte,Jay Obernolte,8/18/70,55,1/3/21,56,4.67,"4 years, 8 months",House,O000019,,,"California Institute of Technology ( BS ) University of California, Los Angeles ( MS )"
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,10/13/89,35,1/3/19,80,6.67,"6 years, 8 months",House,O000172,,,Boston University ( BA )
Andy,Ogles,Andy Ogles,6/18/71,54,1/3/23,32,2.67,"2 years, 8 months",House,,,,Middle Tennessee State University ( BS )
Johnny,Olszewski,Johnny Olszewski,9/10/82,43,1/3/25,8,0.67,8 months,House,O000176,,,"Goucher College ( BA ) George Washington University ( MA ) University of Maryland, Baltimore County ( PhD )"
Ilhan,Omar,Ilhan Omar,10/4/82,42,1/3/19,80,6.67,"6 years, 8 months",House,O000173,,,North Dakota State University ( BA )
Bob,Onder,Bob Onder,1/6/62,63,1/3/25,8,0.67,8 months,House,,,,"Washington University in St. Louis ( BS , MD ) Saint Louis University ( JD )"
Derrick Van,Orden,Derrick Van Orden,9/15/69,56,1/3/23,32,2.67,"2 years, 8 months",House,V000135,Navy,Yes,Excelsior College ( BS ) Mitchell Hamline School of Law
Jon,Ossoff,Jon Ossoff,2/16/87,38,1/20/21,56,4.67,"4 years, 8 months",Senate,O000174,,,Georgetown University ( BS ) London School of Economics ( MSc )
Burgess,Owens,Burgess Owens,8/2/51,74,1/3/21,56,4.67,"4 years, 8 months",House,O000086,,,University of Miami ( BS )
Alex,Padilla,Alex Padilla,3/22/73,52,1/20/21,56,4.67,"4 years, 8 months",Senate,P000145,,,Massachusetts Institute of Technology ( BS )
Frank,Pallone,Frank Pallone,10/30/51,73,11/8/88,442,36.83,"36 years, 10 months",House,P000034,,,Middlebury College ( BA ) Tufts University ( MA ) Rutgers University–Camden ( JD )
Gary,Palmer,Gary Palmer,5/14/54,71,1/3/15,128,10.67,"10 years, 8 months",House,P000609,,,University of Alabama ( BS )
Jimmy,Panetta,Jimmy Panetta,10/1/69,55,1/3/17,104,8.67,"8 years, 8 months",House,P000613,Navy Reserve,Yes,"Monterey Peninsula College University of California, Davis ( BA ) Santa Clara University ( JD )"
Chris,Pappas,Chris Pappas,6/4/80,45,1/3/19,80,6.67,"6 years, 8 months",House,P000614,,,Harvard University ( BA )
Jimmy,Patronis,Jimmy Patronis,4/13/72,53,4/2/25,5,0.42,5 months,House,P000622,,,Gulf Coast State College ( AS ) Florida State University ( BS )
Rand,Paul,Rand Paul,1/7/63,62,1/3/11,176,14.67,"14 years, 8 months",Senate,P000603,,,
Nancy,Pelosi,Nancy Pelosi,3/26/40,85,6/2/87,459,38.25,"38 years, 3 months",House,P000197,,,Trinity Washington University ( BA )
Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,6/6/88,37,1/3/23,32,2.67,"2 years, 8 months",House,,,,Reed College ( BA )
Scott,Perry,Scott Perry,5/27/62,63,1/3/13,152,12.67,"12 years, 8 months",House,P000605,Army Pennsylvania Army National Guard,Yes,Pennsylvania State University ( BS ) United States Army War College ( MS )
Gary,Peters,Gary Peters,12/1/58,66,1/3/15,128,10.67,"10 years, 8 months",Senate,P000595,,,"Alma College ( BA ) University of Detroit ( MBA ) Wayne State University ( JD , MA ) Michigan State University ( MA )"
Scott,Peters,Scott Peters,6/17/58,67,1/3/13,152,12.67,"12 years, 8 months",House,P000608,,,Duke University ( BA ) New York University ( JD )
Brittany,Pettersen,Brittany Pettersen,12/6/81,43,1/3/23,32,2.67,"2 years, 8 months",House,P000620,,,Metropolitan State University of Denver ( BA )
August,Pfluger,August Pfluger,12/28/78,46,1/3/21,56,4.67,"4 years, 8 months",House,P000048,Air Force Air Force Reserve,Yes,United States Air Force Academy ( BS ) Embry–Riddle Aeronautical University ( MS ) Air University ( MS ) Georgetown University ( MS )
Chellie,Pingree,Chellie Pingree,4/2/55,70,1/3/09,200,16.67,"16 years, 8 months",House,P000597,,,University of Southern Maine College of the Atlantic ( BS )
Mark,Pocan,Mark Pocan,8/14/64,61,1/3/13,152,12.67,"12 years, 8 months",House,P000607,,,University of Wisconsin–Madison ( BA )
Nellie,Pou,Nellie Pou,5/20/56,69,1/3/25,8,0.67,8 months,House,P000621,,,Kean College Rutgers University University of Virginia ( BA )
Ayanna,Pressley,Ayanna Pressley,2/3/74,51,1/3/19,80,6.67,"6 years, 8 months",House,P000617,,,Boston University
Mike,Quigley,Mike Quigley,10/17/58,66,4/7/09,197,16.42,"16 years, 5 months",House,Q000023,,,Roosevelt University ( BA ) University of Chicago ( MPP ) Loyola University Chicago ( JD )
Delia,Ramirez,Delia Ramirez,6/2/83,42,1/3/23,32,2.67,"2 years, 8 months",House,R000617,,,Northeastern Illinois University ( BA )
Emily,Randall,Emily Randall,10/3/85,39,1/3/25,8,0.67,8 months,House,R000621,,,Wellesley College ( BA )
Jamie,Raskin,Jamie Raskin,12/13/62,62,1/3/17,104,8.67,"8 years, 8 months",House,R000606,,,"Harvard University ( BA , JD )"
Jack,Reed,Jack Reed,11/12/49,75,1/3/97,344,28.67,"28 years, 8 months",Senate,,,,"United States Military Academy ( BS ) Harvard University ( MPP , JD )"
Guy,Reschenthaler,Guy Reschenthaler,4/17/83,42,1/3/19,80,6.67,"6 years, 8 months",House,R000610,Navy,Yes,"Pennsylvania State University, Behrend ( BA ) Duquesne University ( JD )"
Pete,Ricketts,Pete Ricketts,8/19/64,61,1/12/23,32,2.67,"2 years, 8 months",Senate,R000618,,,
Josh,Riley,Josh Riley,1/21/81,44,1/3/25,8,0.67,8 months,House,R000622,,,College of William & Mary ( BS ) Harvard University ( JD )
Jim,Risch,Jim Risch,5/3/43,82,1/3/09,200,16.67,"16 years, 8 months",Senate,,,,
Luz,Rivas,Luz Rivas,2/6/74,51,1/3/25,8,0.67,8 months,House,R000620,,,Massachusetts Institute of Technology ( BS ) Harvard University ( MEd )
Kristen McDonald,Rivet,Kristen McDonald Rivet,7/11/70,55,1/3/25,8,0.67,8 months,House,M001237,,,Michigan State University ( BA ) University of Michigan–Flint ( MA )
Mike,Rogers,Mike Rogers,7/16/58,67,1/3/03,272,22.67,"22 years, 8 months",House,R000575,,,"Jacksonville State University ( BA , MPA ) Birmingham School of Law ( JD )"
Hal,Rogers,Hal Rogers,12/31/37,87,1/3/81,536,44.67,"44 years, 8 months",House,,Kentucky Army National Guard North Carolina Army National Guard,Yes,Western Kentucky University ( BA ) University of Kentucky ( LLB )
John,Rose,John Rose,2/23/65,60,1/3/19,80,6.67,"6 years, 8 months",House,R000612,,,"Tennessee Technological University ( BS ) Purdue University, West Lafayette ( MS ) Vanderbilt University ( JD )"
Jacky,Rosen,Jacky Rosen,8/2/57,68,1/3/19,80,6.67,"6 years, 8 months",Senate,R000608,,,
Deborah,Ross,Deborah Ross,6/20/63,62,1/3/21,56,4.67,"4 years, 8 months",House,R000305,,,Brown University ( AB ) University of North Carolina at Chapel Hill ( JD )
Mike,Rounds,Mike Rounds,10/24/54,70,1/3/15,128,10.67,"10 years, 8 months",Senate,R000605,,,
David,Rouzer,David Rouzer,2/16/72,53,1/3/15,128,10.67,"10 years, 8 months",House,R000603,,,North Carolina State University ( BS )
Chip,Roy,Chip Roy,8/7/72,53,1/3/19,80,6.67,"6 years, 8 months",House,R000614,,,"University of Virginia ( BS , MS ) University of Texas, Austin ( JD )"
Raul,Ruiz,Raul Ruiz,8/25/72,53,1/3/13,152,12.67,"12 years, 8 months",House,R000599,,,"University of California, Los Angeles ( BS ) Harvard University ( MD , MPP , MPH )"
Michael,Rulli,Michael Rulli,3/11/69,56,6/25/24,15,1.25,"1 year, 3 months",House,R000619,,,Emerson College ( BA )
John,Rutherford,John Rutherford,9/2/52,73,1/3/17,104,8.67,"8 years, 8 months",House,R000609,,,Florida State College Florida State University ( BS )
Pat,Ryan,Pat Ryan,3/28/82,43,9/13/22,36,3,3 years,House,,Army,Yes,United States Military Academy ( BS ) Georgetown University ( MA )
Linda,Sánchez,Linda Sánchez,1/28/69,56,1/3/03,272,22.67,"22 years, 8 months",House,S001156,,,"University of California, Berkeley ( BA ) University of California, Los Angeles ( JD )"
María Elvira,Salazar,María Elvira Salazar,11/1/61,63,1/3/21,56,4.67,"4 years, 8 months",House,,,,Miami Dade College University of Miami ( BA ) Harvard University ( MPA )
Andrea,Salinas,Andrea Salinas,12/6/69,55,1/3/23,32,2.67,"2 years, 8 months",House,S001226,,,"University of California, Berkeley ( BA )"
Bernie,Sanders,Bernie Sanders,9/8/41,84,1/3/07,224,18.67,"18 years, 8 months",Senate,S000033,,,Brooklyn College University of Chicago ( BA )
Steve,Scalise,Steve Scalise,10/6/65,59,5/3/08,208,17.33,"17 years, 4 months",House,S001176,,,Louisiana State University ( BS )
Mary Gay,Scanlon,Mary Gay Scanlon,8/30/59,66,11/13/18,82,6.83,"6 years, 10 months",House,S001205,,,Colgate University ( BA ) University of Pennsylvania ( JD )
Jan,Schakowsky,Jan Schakowsky,5/26/44,81,1/3/99,320,26.67,"26 years, 8 months",House,,,,University of Illinois Urbana-Champaign ( BS )
Brian,Schatz,Brian Schatz,10/20/72,52,12/26/12,153,12.75,"12 years, 9 months",Senate,S001194,,,Pomona College ( BA )
Adam,Schiff,Adam Schiff,6/22/60,65,12/8/24,9,0.75,9 months,Senate,S001150,,,
Derek,Schmidt,Derek Schmidt,1/23/68,57,1/3/25,8,0.67,8 months,House,S001228,,,University of Kansas ( BA ) University of Leicester ( MA ) Georgetown University ( JD )
Eric,Schmitt,Eric Schmitt,6/20/75,50,1/3/23,32,2.67,"2 years, 8 months",Senate,S001227,,,
Brad,Schneider,Brad Schneider,8/20/61,64,1/3/17,104,8.67,"8 years, 8 months",House,,,,"Northwestern University ( BS , MBA )"
Hillary,Scholten,Hillary Scholten,2/22/82,43,1/3/23,32,2.67,"2 years, 8 months",House,S001221,,,"Gordon College ( BA ) University of Maryland, Baltimore ( JD )"
Kim,Schrier,Kim Schrier,8/23/68,57,1/3/19,80,6.67,"6 years, 8 months",House,S001216,,,"University of California, Berkeley ( BS ) University of California, Davis ( MD )"
Debbie Wasserman,Schultz,Debbie Wasserman Schultz,9/27/66,59,1/3/05,248,20.67,"20 years, 8 months",House,W000797,,,"University of Florida ( BA , MA )"
Chuck,Schumer,Chuck Schumer,11/23/50,74,1/3/99,320,26.67,"26 years, 8 months",Senate,,,,"Harvard University ( AB , JD )"
David,Schweikert,David Schweikert,3/3/62,63,1/3/11,176,14.67,"14 years, 8 months",House,S001183,,,"Arizona State University, Tempe ( BS , MBA )"
Rick,Scott,Rick Scott,12/1/52,72,1/8/19,80,6.67,"6 years, 8 months",Senate,S001217,,,University of Missouri-Kansas City ( BS ) Southern Methodist University ( JD )
Tim,Scott,Tim Scott,9/19/65,60,1/2/13,152,12.67,"12 years, 8 months",Senate,S001184,,,
Austin,Scott,Austin Scott,12/10/69,55,1/3/11,176,14.67,"14 years, 8 months",House,S001189,,,University of Georgia ( BA )
David,Scott,David Scott,6/27/45,80,1/3/03,272,22.67,"22 years, 8 months",House,S001157,,,Florida A&M University ( BA ) University of Pennsylvania ( MBA )
Bobby,Scott,Bobby Scott,4/30/47,78,1/3/93,392,32.67,"32 years, 8 months",House,,Army Reserve Massachusetts National Guard,Yes,Harvard University ( BA ) Boston College ( JD )
Keith,Self,Keith Self,3/20/53,72,1/3/23,32,2.67,"2 years, 8 months",House,S001224,Army,Yes,United States Military Academy ( BS ) University of Southern California ( MA )
Pete,Sessions,Pete Sessions,3/22/55,70,1/3/21,56,4.67,"4 years, 8 months",House,S000250,,,Southwestern University ( BS )
Terri,Sewell,Terri Sewell,1/1/65,60,1/3/11,176,14.67,"14 years, 8 months",House,S001185,,,"Princeton University ( BA ) St Hilda's College, Oxford ( MA ) Harvard University ( JD )"
Jeanne,Shaheen,Jeanne Shaheen,1/28/47,78,1/3/09,200,16.67,"16 years, 8 months",Senate,S001181,,,Shippensburg University ( BA ) University of Mississippi ( MSS )
Tim,Sheehy,Tim Sheehy,11/18/85,39,1/3/25,8,0.67,8 months,Senate,S001232,,,
Brad,Sherman,Brad Sherman,10/24/54,70,1/3/97,344,28.67,"28 years, 8 months",House,S000344,,,"University of California, Los Angeles ( BA ) Harvard University ( JD )"
Mikie,Sherrill,Mikie Sherrill,1/19/72,53,1/3/19,80,6.67,"6 years, 8 months",House,S001207,Navy,Yes,United States Naval Academy ( BS ) London School of Economics ( MSc ) Georgetown University ( JD )
Jefferson,Shreve,Jefferson Shreve,9/24/65,60,1/3/25,8,0.67,8 months,House,S001229,,,Indiana University Bloomington ( BA ) University of London ( MA ) Purdue University ( MBA )
Lateefah,Simon,Lateefah Simon,1/29/77,48,1/3/25,8,0.67,8 months,House,S001231,,,Mills College ( BA ) University of San Francisco ( MPA )
Mike,Simpson,Mike Simpson,9/8/50,75,1/3/99,320,26.67,"26 years, 8 months",House,,,,Utah State University ( BS ) Washington University in St. Louis ( DMD )
Elissa,Slotkin,Elissa Slotkin,7/10/76,49,1/3/25,8,0.67,8 months,Senate,S001208,,,
Tina,Smith,Tina Smith,3/4/58,67,1/3/18,92,7.67,"7 years, 8 months",Senate,S001203,,,
Jason,Smith,Jason Smith,6/16/80,45,6/4/13,147,12.25,"12 years, 3 months",House,S001195,,,University of Missouri ( BS ) Oklahoma City University ( JD )
Adrian,Smith,Adrian Smith,12/19/70,54,1/3/07,224,18.67,"18 years, 8 months",House,S001172,,,Liberty University University of Nebraska–Lincoln ( BA )
Chris,Smith,Chris Smith,3/4/53,72,1/3/81,536,44.67,"44 years, 8 months",House,,,,The College of New Jersey ( BS )
Adam,Smith,Adam Smith,6/15/65,60,1/3/97,344,28.67,"28 years, 8 months",House,S000510,,,Western Washington University Fordham University ( BA ) University of Washington ( JD )
Lloyd,Smucker,Lloyd Smucker,1/23/64,61,1/3/17,104,8.67,"8 years, 8 months",House,S001199,,,Lebanon Valley College Franklin and Marshall College
Eric,Sorensen,Eric Sorensen,3/18/76,49,1/3/23,32,2.67,"2 years, 8 months",House,S001225,,,Northern Illinois University ( BS )
Darren,Soto,Darren Soto,2/25/78,47,1/3/17,104,8.67,"8 years, 8 months",House,S001200,,,Rutgers University–New Brunswick ( BA ) George Washington University ( JD )
Victoria,Spartz,Victoria Spartz,10/6/78,46,1/3/21,56,4.67,"4 years, 8 months",House,S000929,,,"Kyiv National Economic University ( BS , MBA ) Indiana University, Indianapolis ( MAcc )"
Melanie,Stansbury,Melanie Stansbury,1/31/79,46,6/14/21,51,4.25,"4 years, 3 months",House,S001218,,,Saint Mary's College of California ( BA ) Cornell University ( MS )
Greg,Stanton,Greg Stanton,3/8/70,55,1/3/19,80,6.67,"6 years, 8 months",House,S001211,,,Marquette University ( BA ) University of Michigan ( JD )
Pete,Stauber,Pete Stauber,5/10/66,59,1/3/19,80,6.67,"6 years, 8 months",House,S001212,,,Lake Superior State University ( BA )
Elise,Stefanik,Elise Stefanik,7/2/84,41,1/3/15,128,10.67,"10 years, 8 months",House,S001196,,,Harvard University ( BA )
Bryan,Steil,Bryan Steil,3/3/81,44,1/3/19,80,6.67,"6 years, 8 months",House,S001213,,,Georgetown University ( BS ) University of Wisconsin–Madison ( JD )
Greg,Steube,Greg Steube,5/19/78,47,1/3/19,80,6.67,"6 years, 8 months",House,,Army,Yes,"University of Florida ( BS , JD )"
Haley,Stevens,Haley Stevens,6/24/83,42,1/3/19,80,6.67,"6 years, 8 months",House,S001215,,,"American University ( BA , MA )"
Marilyn,Strickland,Marilyn Strickland,9/25/62,63,1/3/21,56,4.67,"4 years, 8 months",House,S001159,,,University of Washington ( BA ) Clark Atlanta University ( MBA )
Dale,Strong,Dale Strong,5/8/70,55,1/3/23,32,2.67,"2 years, 8 months",House,S001220,,,Athens State University ( BA )
Marlin,Stutzman,Marlin Stutzman,8/31/76,49,1/3/25,8,0.67,8 months,House,S001188,,,Glen Oaks Community College Trine University
Suhas,Subramanyam,Suhas Subramanyam,9/26/86,39,1/3/25,8,0.67,8 months,House,S001230,,,Tulane University ( BA ) Northwestern University ( JD )
Dan,Sullivan,Dan Sullivan,11/13/64,60,1/3/15,128,10.67,"10 years, 8 months",Senate,S001198,,,
Tom,Suozzi,Tom Suozzi,8/31/62,63,2/28/24,19,1.58,"1 year, 7 months",House,,,,Boston College ( BA ) Fordham University ( JD )
Eric,Swalwell,Eric Swalwell,11/16/80,44,1/3/13,152,12.67,"12 years, 8 months",House,S001193,,,"Campbell University University of Maryland, College Park ( BA ) University of Maryland, Baltimore ( JD )"
Emilia,Sykes,Emilia Sykes,1/4/86,39,1/3/23,32,2.67,"2 years, 8 months",House,S001223,,,"Kent State University ( BA ) University of Florida ( JD , MPH )"
Mark,Takano,Mark Takano,12/10/60,64,1/3/13,152,12.67,"12 years, 8 months",House,T000472,,,"Harvard University ( BA ) University of California, Riverside ( MFA )"
David,Taylor,David Taylor,11/16/69,55,1/3/25,8,0.67,8 months,House,T000490,,,Miami University ( BA ) University of Dayton ( JD )
Claudia,Tenney,Claudia Tenney,2/4/61,64,1/3/21,56,4.67,"4 years, 8 months",House,T000478,,,Colgate University ( BA ) University of Cincinnati ( JD )
Shri,Thanedar,Shri Thanedar,2/22/55,70,1/3/23,32,2.67,"2 years, 8 months",House,T000488,,,"University of Mumbai ( BS , MS ) University of Akron ( PhD )"
Mike,Thompson,Mike Thompson,1/24/51,74,1/3/99,320,26.67,"26 years, 8 months",House,T000460,Army,Yes,"Napa Valley College California State University, Chico ( BA , MPA )"
Bennie,Thompson,Bennie Thompson,1/28/48,77,4/13/93,389,32.42,"32 years, 5 months",House,T000193,,,Tougaloo College ( BA ) Jackson State University ( MS )
Glenn,Thompson,Glenn Thompson,7/27/59,66,1/3/09,200,16.67,"16 years, 8 months",House,T000467,,,Pennsylvania State University ( BS ) Temple University ( MEd )
John,Thune,John Thune,1/7/61,64,1/3/05,248,20.67,"20 years, 8 months",Senate,T000250,,,Biola University ( BA ) University of South Dakota ( MBA )
Tom,Tiffany,Tom Tiffany,12/30/57,67,5/19/20,64,5.33,"5 years, 4 months",House,,,,University of Wisconsin–River Falls ( BS )
Thom,Tillis,Thom Tillis,8/30/60,65,1/3/15,128,10.67,"10 years, 8 months",Senate,,,,University of Maryland University College ( BS )
William,Timmons,William Timmons,4/30/84,41,1/3/19,80,6.67,"6 years, 8 months",House,T000480,South Carolina Air National Guard,Yes,"George Washington University ( BA ) University of South Carolina ( MA , JD )"
Dina,Titus,Dina Titus,5/23/50,75,1/3/13,152,12.67,"12 years, 8 months",House,T000468,,,College of William & Mary ( BA ) University of Georgia ( MA ) Florida State University ( PhD )
Rashida,Tlaib,Rashida Tlaib,7/24/76,49,1/3/19,80,6.67,"6 years, 8 months",House,T000481,,,Wayne State University ( BA ) Thomas M. Cooley Law School ( JD )
Jill,Tokuda,Jill Tokuda,3/3/76,49,1/3/23,32,2.67,"2 years, 8 months",House,T000487,,,University of Hawaiʻi at Mānoa ( BA )
Paul,Tonko,Paul Tonko,6/18/49,76,1/3/09,200,16.67,"16 years, 8 months",House,T000469,,,Clarkson University ( BS )
Norma,Torres,Norma Torres,4/4/65,60,1/3/15,128,10.67,"10 years, 8 months",House,T000474,,,National Labor College ( BA )
Ritchie,Torres,Ritchie Torres,3/12/88,37,1/3/21,56,4.67,"4 years, 8 months",House,T000486,,,New York University
Lori,Trahan,Lori Trahan,10/27/73,51,1/3/19,80,6.67,"6 years, 8 months",House,T000482,,,Georgetown University ( BA )
Derek,Tran,Derek Tran,12/22/80,44,1/3/25,8,0.67,8 months,House,T000491,Army Army Reserve,Yes,Bentley University ( BS ) Glendale University College of Law ( JD )
Tommy,Tuberville,Tommy Tuberville,9/18/54,71,1/3/21,56,4.67,"4 years, 8 months",Senate,T000278,,,Southern Arkansas University ( BS )
Mike,Turner,Mike Turner,1/11/60,65,1/3/03,272,22.67,"22 years, 8 months",House,,,,Ohio Northern University ( BA ) Case Western Reserve University ( JD ) University of Dayton ( MBA )
Lauren,Underwood,Lauren Underwood,10/4/86,38,1/3/19,80,6.67,"6 years, 8 months",House,U000040,,,"University of Michigan ( BSN ) Johns Hopkins University ( MSN , MPH )"
David,Valadao,David Valadao,4/14/77,48,1/3/21,56,4.67,"4 years, 8 months",House,V000129,,,College of the Sequoias
Chris,Van Hollen,Chris Van Hollen,1/10/59,66,1/3/17,104,8.67,"8 years, 8 months",Senate,V000128,,,Swarthmore College ( BA ) Harvard University ( MPP ) Georgetown University ( JD )
Juan,Vargas,Juan Vargas,3/7/61,64,1/3/13,152,12.67,"12 years, 8 months",House,V000130,,,University of San Diego ( BA ) Fordham University ( MA ) Harvard University ( JD )
Gabe,Vasquez,Gabe Vasquez,8/3/84,41,1/3/23,32,2.67,"2 years, 8 months",House,V000136,,,New Mexico State University ( BA )
Marc,Veasey,Marc Veasey,1/3/71,54,1/3/13,152,12.67,"12 years, 8 months",House,V000131,,,Texas Wesleyan University ( BA )
Nydia,Velázquez,Nydia Velázquez,3/28/53,72,1/3/93,392,32.67,"32 years, 8 months",House,V000081,,,"University of Puerto Rico, Río Piedras ( BA ) New York University ( MA )"
Eugene,Vindman,Eugene Vindman,6/6/75,50,1/3/25,8,0.67,8 months,House,V000138,Army,Yes,State University of New York at Binghamton ( BA ) Central Michigan University ( MS ) University of Georgia ( JD ) The Judge Advocate General's Legal Center and School ( LLM )
Ann,Wagner,Ann Wagner,9/13/62,63,1/3/13,152,12.67,"12 years, 8 months",House,W000812,,,University of Missouri ( BS )
Tim,Walberg,Tim Walberg,4/12/51,74,1/3/11,176,14.67,"14 years, 8 months",House,W000798,,,"Western Illinois University Moody Bible Institute Taylor University ( BA ) Wheaton College, Illinois ( MA )"
James,Walkinshaw,James Walkinshaw,10/2/82,42,9/10/25,0,0,0 months,House,W000831,,,New York University ( BA )
Mark,Warner,Mark Warner,12/15/54,70,1/3/09,200,16.67,"16 years, 8 months",Senate,W000805,,,George Washington University ( BA ) Harvard University ( JD )
Raphael,Warnock,Raphael Warnock,7/23/69,56,1/20/21,56,4.67,"4 years, 8 months",Senate,W000790,,,
Elizabeth,Warren,Elizabeth Warren,6/22/49,76,1/3/13,152,12.67,"12 years, 8 months",Senate,W000817,,,George Washington University University of Houston ( BS ) Rutgers University ( JD )
Maxine,Waters,Maxine Waters,8/15/38,87,1/3/91,416,34.67,"34 years, 8 months",House,W000187,,,"California State University, Los Angeles ( BA )"
Randy,Weber,Randy Weber,7/2/53,72,1/3/13,152,12.67,"12 years, 8 months",House,W000814,,,Alvin Community College University of Houston–Clear Lake ( BS )
Daniel,Webster,Daniel Webster,4/27/49,76,1/3/11,176,14.67,"14 years, 8 months",House,W000806,,,Georgia Institute of Technology ( BS )
Peter,Welch,Peter Welch,5/2/47,78,1/3/23,32,2.67,"2 years, 8 months",Senate,W000800,,,
Bruce,Westerman,Bruce Westerman,11/18/67,57,1/3/15,128,10.67,"10 years, 8 months",House,W000821,,,University of Arkansas ( BS ) Yale University ( MS )
Sheldon,Whitehouse,Sheldon Whitehouse,10/20/55,69,1/3/07,224,18.67,"18 years, 8 months",Senate,W000802,,,
George,Whitesides,George Whitesides,3/3/74,51,1/3/25,8,0.67,8 months,House,W000830,,,"Princeton University ( BA ) King's College, Cambridge ( MPhil )"
Roger,Wicker,Roger Wicker,7/5/51,74,12/31/07,212,17.67,"17 years, 8 months",Senate,W000437,,,"University of Mississippi ( BA , JD )"
Tony,Wied,Tony Wied,5/3/76,49,11/12/24,10,0.83,10 months,House,W000829,,,St. Norbert College ( BA )
Nikema,Williams,Nikema Williams,7/30/78,47,1/3/21,56,4.67,"4 years, 8 months",House,W000788,,,Talladega College ( BA )
Roger,Williams,Roger Williams,9/13/49,76,1/3/13,152,12.67,"12 years, 8 months",House,W000816,,,Texas Christian University ( BA )
Frederica,Wilson,Frederica Wilson,11/5/42,82,1/3/11,176,14.67,"14 years, 8 months",House,W000808,,,Fisk University ( BA ) University of Miami ( MA )
Joe,Wilson,Joe Wilson,7/31/47,78,12/18/01,285,23.75,"23 years, 9 months",House,W000795,Army Reserve South Carolina National Guard,Yes,Washington and Lee University ( BA ) University of South Carolina ( JD )
Rob,Wittman,Rob Wittman,2/3/59,66,12/11/07,213,17.75,"17 years, 9 months",House,,,,Virginia Tech ( BS ) University of North Carolina at Chapel Hill ( MPH ) Virginia Commonwealth University ( PhD )
Steve,Womack,Steve Womack,2/18/57,68,1/3/11,176,14.67,"14 years, 8 months",House,W000809,Arkansas Army National Guard,Yes,Arkansas Tech University ( BA )
Ron,Wyden,Ron Wyden,5/3/49,76,2/5/96,355,29.58,"29 years, 7 months",Senate,W000779,,,Stanford University ( BA ) University of Oregon ( JD )
Rudy,Yakym,Rudy Yakym,2/24/84,41,11/14/22,34,2.83,"2 years, 10 months",House,Y000067,,,"Indiana University South Bend ( AS , BS ) University of Notre Dame ( MBA )"
Todd,Young,Todd Young,8/24/72,53,1/3/17,104,8.67,"8 years, 8 months",Senate,Y000064,,,"United States Naval Academy ( BS ) University of Chicago ( MBA ) University of London ( MA ) Indiana University, Indianapolis ( JD )"
Ryan,Zinke,Ryan Zinke,11/1/61,63,1/3/23,32,2.67,"2 years, 8 months",House,Z000018,Navy,Yes,University of Oregon ( BS ) National University ( MBA ) University of San Diego ( MS )
