first_name,first_name2,last_name,last_name2,middle_name1,nick_name1,suffix,bioguide_id,fecid,chamber,assumed_office,date_of_birth,age,match_method,merge_note,full_name,tenure_months,tenure_pretty,tenure_years
Frank J.,,Mrvan,,,,,,,House,1/3/21,4/16/69,56,,,Frank J. Mrvan,56,"4 years, 8 months",4.67
Markwayne,Markwayne,Mullin,Mullin,,,,M001190,S2OK00186,Senate,1/3/23,7/26/77,48,bioguide_id,,Markwayne Mullin,32,"2 years, 8 months",2.67
Kevin,Kevin,Mullin,Mullin,,,,M001225,H2CA14162,House,1/3/23,6/15/70,55,bioguide_id,,Kevin Mullin,32,"2 years, 8 months",2.67
Lisa,Lisa,Murkowski,Murkowski,,,,M001153,S4AK00099,Senate,12/20/02,5/22/57,68,bioguide_id,,Lisa Murkowski,273,"22 years, 9 months",22.75
Chris,,Murphy,,,,,,,Senate,1/3/13,8/3/73,52,,,Chris Murphy,152,"12 years, 8 months",12.67
Greg,,Murphy,,,,,,,House,9/17/19,3/5/63,62,,,Greg Murphy,72,6 years,6
Patty,Patty,Murray,Murray,,,,M001111,S2WA00189,Senate,1/3/93,10/11/50,74,bioguide_id,,Patty Murray,392,"32 years, 8 months",32.67
Jerry,,Nadler,,,,,,,House,11/3/92,6/13/47,78,,,Jerry Nadler,394,"32 years, 10 months",32.83
Richard,Richard,Neal,Neal,E.,,,N000015,H8MA02041,House,1/3/89,2/14/49,76,bioguide_id,,Richard Neal,440,"36 years, 8 months",36.67
Joe,Joe,Neguse,Neguse,,,,N000191,,House,1/3/19,5/13/84,41,bioguide_id,,Joe Neguse,80,"6 years, 8 months",6.67
Troy,Troy,Nehls,Nehls,E.,,,N000026,H0TX22302,House,1/3/21,4/7/68,57,bioguide_id,,Troy Nehls,56,"4 years, 8 months",4.67
Dan,Dan,Newhouse,Newhouse,,,,N000189,H4WA04104,House,1/3/15,7/10/55,70,bioguide_id,,Dan Newhouse,128,"10 years, 8 months",10.67
Donald,Donald,Norcross,Norcross,,,,N000188,H4NJ01084,House,11/12/14,12/13/58,66,bioguide_id,,Donald Norcross,130,"10 years, 10 months",10.83
Ralph,Ralph,Norman,Norman,,,Jr.,N000190,H8SC05158,House,6/20/17,6/20/53,72,bioguide_id,,Ralph Norman,99,"8 years, 3 months",8.25
Zach,,Nunn,,,,,,,House,1/3/23,5/4/79,46,,,Zach Nunn,32,"2 years, 8 months",2.67
Jay,Jay,Obernolte,Obernolte,,,,O000019,H0CA08135,House,1/3/21,8/18/70,55,bioguide_id,,Jay Obernolte,56,"4 years, 8 months",4.67
Alexandria,Alexandria,Ocasio-Cortez,Ocasio-Cortez,,,,O000172,H8NY15148,House,1/3/19,10/13/89,35,bioguide_id,,Alexandria Ocasio-Cortez,80,"6 years, 8 months",6.67
Andy,,Ogles,,,,,,,House,1/3/23,6/18/71,54,,,Andy Ogles,32,"2 years, 8 months",2.67
Johnny,Johnny,Olszewski,Olszewski,,,,O000176,,House,1/3/25,9/10/82,43,bioguide_id,,Johnny Olszewski,8,8 months,0.67
Ilhan,Ilhan,Omar,Omar,,,,O000173,H8MN05239,House,1/3/19,10/4/82,42,bioguide_id,,Ilhan Omar,80,"6 years, 8 months",6.67
Bob,,Onder,,,,,,,House,1/3/25,1/6/62,63,,,Bob Onder,8,8 months,0.67
Derrick Van,Derrick,Orden,Van Orden,,,,V000135,H0WI03175,House,1/3/23,9/15/69,56,bioguide_id,,Derrick Van Orden,32,"2 years, 8 months",2.67
Jon,Jon,Ossoff,Ossoff,,,,O000174,,Senate,1/20/21,2/16/87,38,bioguide_id,,Jon Ossoff,56,"4 years, 8 months",4.67
Burgess,Burgess,Owens,Owens,,,,O000086,H0UT04076,House,1/3/21,8/2/51,74,bioguide_id,,Burgess Owens,56,"4 years, 8 months",4.67
Alex,Alex,Padilla,Padilla,,,,P000145,S2CA00955,Senate,1/20/21,3/22/73,52,bioguide_id,,Alex Padilla,56,"4 years, 8 months",4.67
Frank,Frank,Pallone,Pallone,,,Jr.,P000034,H8NJ03073,House,11/8/88,10/30/51,73,bioguide_id,,Frank Pallone,442,"36 years, 10 months",36.83
Gary,Gary,Palmer,Palmer,J.,,,P000609,H4AL06098,House,1/3/15,5/14/54,71,bioguide_id,,Gary Palmer,128,"10 years, 8 months",10.67
Jimmy,Jimmy,Panetta,Panetta,,,,P000613,H6CA20152,House,1/3/17,10/1/69,55,bioguide_id,,Jimmy Panetta,104,"8 years, 8 months",8.67
Chris,Chris,Pappas,Pappas,,,,P000614,H8NH01210,House,1/3/19,6/4/80,45,bioguide_id,,Chris Pappas,80,"6 years, 8 months",6.67
Jimmy,Jimmy,Patronis,Patronis,,,Jr.,P000622,,House,4/2/25,4/13/72,53,bioguide_id,,Jimmy Patronis,5,5 months,0.42
Rand,Rand,Paul,Paul,,,,P000603,S0KY00156,Senate,1/3/11,1/7/63,62,bioguide_id,,Rand Paul,176,"14 years, 8 months",14.67
Nancy,Nancy,Pelosi,Pelosi,,,,P000197,H8CA05035,House,6/2/87,3/26/40,85,bioguide_id,,Nancy Pelosi,459,"38 years, 3 months",38.25
Marie Gluesenkamp,Marie Gluesenkamp,Perez,Perez,,,,,H2WA03217,House,1/3/23,6/6/88,37,slug,,Marie Gluesenkamp Perez,32,"2 years, 8 months",2.67
Scott,Scott,Perry,Perry,,,,P000605,H2PA04135,House,1/3/13,5/27/62,63,bioguide_id,,Scott Perry,152,"12 years, 8 months",12.67
Gary,Gary,Peters,Peters,C.,,,P000595,,Senate,1/3/15,12/1/58,66,bioguide_id,,Gary Peters,128,"10 years, 8 months",10.67
Scott,Scott,Peters,Peters,H.,,,P000608,H2CA52089,House,1/3/13,6/17/58,67,bioguide_id,,Scott Peters,152,"12 years, 8 months",12.67
Brittany,Brittany,Pettersen,Pettersen,,,,P000620,H8CO07045,House,1/3/23,12/6/81,43,bioguide_id,,Brittany Pettersen,32,"2 years, 8 months",2.67
August,August,Pfluger,Pfluger,,,II,P000048,H0TX11230,House,1/3/21,12/28/78,46,bioguide_id,,August Pfluger,56,"4 years, 8 months",4.67
Chellie,Chellie,Pingree,Pingree,,,,P000597,H8ME01120,House,1/3/09,4/2/55,70,bioguide_id,,Chellie Pingree,200,"16 years, 8 months",16.67
Mark,Mark,Pocan,Pocan,,,,P000607,H2WI02124,House,1/3/13,8/14/64,61,bioguide_id,,Mark Pocan,152,"12 years, 8 months",12.67
Nellie,Nellie,Pou,Pou,,,,P000621,,House,1/3/25,5/20/56,69,bioguide_id,,Nellie Pou,8,8 months,0.67
Ayanna,Ayanna,Pressley,Pressley,,,,P000617,H8MA07032,House,1/3/19,2/3/74,51,bioguide_id,,Ayanna Pressley,80,"6 years, 8 months",6.67
Mike,Mike,Quigley,Quigley,,,,Q000023,H0IL05096,House,4/7/09,10/17/58,66,bioguide_id,,Mike Quigley,197,"16 years, 5 months",16.42
Delia,Delia,Ramirez,Ramirez,C.,,,R000617,H2IL03162,House,1/3/23,6/2/83,42,bioguide_id,,Delia Ramirez,32,"2 years, 8 months",2.67
Emily,Emily,Randall,Randall,,,,R000621,H4WA06117,House,1/3/25,10/3/85,39,bioguide_id,,Emily Randall,8,8 months,0.67
Jamie,Jamie,Raskin,Raskin,,,,R000606,H6MD08457,House,1/3/17,12/13/62,62,bioguide_id,,Jamie Raskin,104,"8 years, 8 months",8.67
Jack,Jack,Reed,Reed,,,,,,Senate,1/3/97,11/12/49,75,slug,,Jack Reed,344,"28 years, 8 months",28.67
Guy,Guy,Reschenthaler,Reschenthaler,,,,R000610,H8PA18199,House,1/3/19,4/17/83,42,bioguide_id,,Guy Reschenthaler,80,"6 years, 8 months",6.67
Pete,Pete,Ricketts,Ricketts,,,,R000618,S6NE00129,Senate,1/12/23,8/19/64,61,bioguide_id,,Pete Ricketts,32,"2 years, 8 months",2.67
Josh,Josh,Riley,Riley,,,,R000622,H8NY22177,House,1/3/25,1/21/81,44,bioguide_id,,Josh Riley,8,8 months,0.67
Jim,,Risch,,,,,,,Senate,1/3/09,5/3/43,82,,,Jim Risch,200,"16 years, 8 months",16.67
Luz,Luz,Rivas,Rivas,M.,,,R000620,H4CA29141,House,1/3/25,2/6/74,51,bioguide_id,,Luz Rivas,8,8 months,0.67
Kristen McDonald,Kristen,Rivet,McDonald Rivet,,,,M001237,H4MI08218,House,1/3/25,7/11/70,55,bioguide_id,,Kristen McDonald Rivet,8,8 months,0.67
Mike,Mike,Rogers,Rogers,D.,,,R000575,,House,1/3/03,7/16/58,67,bioguide_id,,Mike Rogers,272,"22 years, 8 months",22.67
Hal,,Rogers,,,,,,,House,1/3/81,12/31/37,87,,,Hal Rogers,536,"44 years, 8 months",44.67
John,John,Rose,Rose,W.,,,R000612,H8TN06094,House,1/3/19,2/23/65,60,bioguide_id,,John Rose,80,"6 years, 8 months",6.67
Jacky,Jacky,Rosen,Rosen,,,,R000608,,Senate,1/3/19,8/2/57,68,bioguide_id,,Jacky Rosen,80,"6 years, 8 months",6.67
Deborah,Deborah,Ross,Ross,K.,,,R000305,H0NC02125,House,1/3/21,6/20/63,62,bioguide_id,,Deborah Ross,56,"4 years, 8 months",4.67
Mike,Mike,Rounds,Rounds,,,,R000605,,Senate,1/3/15,10/24/54,70,bioguide_id,,Mike Rounds,128,"10 years, 8 months",10.67
David,David,Rouzer,Rouzer,,,,R000603,H2NC07096,House,1/3/15,2/16/72,53,bioguide_id,,David Rouzer,128,"10 years, 8 months",10.67
Chip,Chip,Roy,Roy,,,,R000614,H8TX21307,House,1/3/19,8/7/72,53,bioguide_id,,Chip Roy,80,"6 years, 8 months",6.67
Raul,Raul,Ruiz,Ruiz,,,,R000599,H2CA36439,House,1/3/13,8/25/72,53,bioguide_id,,Raul Ruiz,152,"12 years, 8 months",12.67
Michael,Michael,Rulli,Rulli,A.,,,R000619,H4OH06165,House,6/25/24,3/11/69,56,bioguide_id,,Michael Rulli,15,"1 year, 3 months",1.25
John,John,Rutherford,Rutherford,H.,,,R000609,H6FL04105,House,1/3/17,9/2/52,73,bioguide_id,,John Rutherford,104,"8 years, 8 months",8.67
Pat,,Ryan,,,,,,,House,9/13/22,3/28/82,43,,,Pat Ryan,36,3 years,3
Linda,Linda,Sánchez,Sánchez,T.,,,S001156,H2CA39078,House,1/3/03,1/28/69,56,bioguide_id,,Linda Sánchez,272,"22 years, 8 months",22.67
María Elvira,Maria Elvira,Salazar,Salazar,,,,,,House,1/3/21,11/1/61,63,slug,,María Elvira Salazar,56,"4 years, 8 months",4.67
Andrea,Andrea,Salinas,Salinas,,,,S001226,H2OR06066,House,1/3/23,12/6/69,55,bioguide_id,,Andrea Salinas,32,"2 years, 8 months",2.67
Bernie,Bernard,Sanders,Sanders,,,,S000033,,Senate,1/3/07,9/8/41,84,bioguide_id,,Bernie Sanders,224,"18 years, 8 months",18.67
Steve,Steve,Scalise,Scalise,,,,S001176,H0LA01087,House,5/3/08,10/6/65,59,bioguide_id,,Steve Scalise,208,"17 years, 4 months",17.33
Mary Gay,Mary Gay,Scanlon,Scanlon,,,,S001205,H8PA07200,House,11/13/18,8/30/59,66,bioguide_id,,Mary Gay Scanlon,82,"6 years, 10 months",6.83
Jan,,Schakowsky,,,,,,,House,1/3/99,5/26/44,81,,,Jan Schakowsky,320,"26 years, 8 months",26.67
Brian,Brian,Schatz,Schatz,,,,S001194,S4HI00136,Senate,12/26/12,10/20/72,52,bioguide_id,,Brian Schatz,153,"12 years, 9 months",12.75
Adam,Adam,Schiff,Schiff,B.,,,S001150,H0CA27085,Senate,12/8/24,6/22/60,65,bioguide_id,,Adam Schiff,9,9 months,0.75
Derek,Derek,Schmidt,Schmidt,,,,S001228,H4KS02164,House,1/3/25,1/23/68,57,bioguide_id,,Derek Schmidt,8,8 months,0.67
Eric,Eric,Schmitt,Schmitt,,,,S001227,S2MO00544,Senate,1/3/23,6/20/75,50,bioguide_id,,Eric Schmitt,32,"2 years, 8 months",2.67
Brad,,Schneider,,,,,,,House,1/3/17,8/20/61,64,,,Brad Schneider,104,"8 years, 8 months",8.67
Hillary,Hillary,Scholten,Scholten,J.,,,S001221,H0MI03316,House,1/3/23,2/22/82,43,bioguide_id,,Hillary Scholten,32,"2 years, 8 months",2.67
Kim,Kim,Schrier,Schrier,,,,S001216,H8WA08189,House,1/3/19,8/23/68,57,bioguide_id,,Kim Schrier,80,"6 years, 8 months",6.67
Debbie Wasserman,Debbie,Schultz,Wasserman Schultz,,,,W000797,H4FL20023,House,1/3/05,9/27/66,59,bioguide_id,,Debbie Wasserman Schultz,248,"20 years, 8 months",20.67
Chuck,,Schumer,,,,,,,Senate,1/3/99,11/23/50,74,,,Chuck Schumer,320,"26 years, 8 months",26.67
David,David,Schweikert,Schweikert,,,,S001183,H4AZ06045,House,1/3/11,3/3/62,63,bioguide_id,,David Schweikert,176,"14 years, 8 months",14.67
Rick,Rick,Scott,Scott,,,,S001217,,Senate,1/8/19,12/1/52,72,bioguide_id,,Rick Scott,80,"6 years, 8 months",6.67
Tim,Tim,Scott,Scott,,,,S001184,S4SC00240,Senate,1/2/13,9/19/65,60,bioguide_id,,Tim Scott,152,"12 years, 8 months",12.67
Austin,Austin,Scott,Scott,,,,S001189,H0GA08099,House,1/3/11,12/10/69,55,bioguide_id,,Austin Scott,176,"14 years, 8 months",14.67
David,David,Scott,Scott,,,,S001157,H2GA13012,House,1/3/03,6/27/45,80,bioguide_id,,David Scott,272,"22 years, 8 months",22.67
Bobby,,Scott,,,,,,,House,1/3/93,4/30/47,78,,,Bobby Scott,392,"32 years, 8 months",32.67
Keith,Keith,Self,Self,,,,S001224,H2TX03290,House,1/3/23,3/20/53,72,bioguide_id,,Keith Self,32,"2 years, 8 months",2.67
Pete,Pete,Sessions,Sessions,,,,S000250,H2TX03126,House,1/3/21,3/22/55,70,bioguide_id,,Pete Sessions,56,"4 years, 8 months",4.67
Terri,Terri,Sewell,Sewell,A.,,,S001185,H0AL07086,House,1/3/11,1/1/65,60,bioguide_id,,Terri Sewell,176,"14 years, 8 months",14.67
Jeanne,Jeanne,Shaheen,Shaheen,,,,S001181,,Senate,1/3/09,1/28/47,78,bioguide_id,,Jeanne Shaheen,200,"16 years, 8 months",16.67
Tim,Tim,Sheehy,Sheehy,Patrick,,,S001232,S4MT00183,Senate,1/3/25,11/18/85,39,bioguide_id,,Tim Sheehy,8,8 months,0.67
Brad,Brad,Sherman,Sherman,,,,S000344,H6CA24113,House,1/3/97,10/24/54,70,bioguide_id,,Brad Sherman,344,"28 years, 8 months",28.67
Mikie,Mikie,Sherrill,Sherrill,,,,S001207,H8NJ11142,House,1/3/19,1/19/72,53,bioguide_id,,Mikie Sherrill,80,"6 years, 8 months",6.67
Jefferson,Jefferson,Shreve,Shreve,,,,S001229,H4IN06185,House,1/3/25,9/24/65,60,bioguide_id,,Jefferson Shreve,8,8 months,0.67
Lateefah,Lateefah,Simon,Simon,,,,S001231,H4CA12154,House,1/3/25,1/29/77,48,bioguide_id,,Lateefah Simon,8,8 months,0.67
Mike,,Simpson,,,,,,,House,1/3/99,9/8/50,75,,,Mike Simpson,320,"26 years, 8 months",26.67
Elissa,Elissa,Slotkin,Slotkin,,,,S001208,H8MI08102,Senate,1/3/25,7/10/76,49,bioguide_id,,Elissa Slotkin,8,8 months,0.67
Tina,Tina,Smith,Smith,,,,S001203,,Senate,1/3/18,3/4/58,67,bioguide_id,,Tina Smith,92,"7 years, 8 months",7.67
Jason,Jason,Smith,Smith,,,,S001195,H4MO08162,House,6/4/13,6/16/80,45,bioguide_id,,Jason Smith,147,"12 years, 3 months",12.25
Adrian,Adrian,Smith,Smith,,,,S001172,H6NE03115,House,1/3/07,12/19/70,54,bioguide_id,,Adrian Smith,224,"18 years, 8 months",18.67
Chris,,Smith,,,,,,,House,1/3/81,3/4/53,72,,,Chris Smith,536,"44 years, 8 months",44.67
Adam,Adam,Smith,Smith,,,,S000510,H6WA09025,House,1/3/97,6/15/65,60,bioguide_id,,Adam Smith,344,"28 years, 8 months",28.67
Lloyd,Lloyd,Smucker,Smucker,,,,S001199,H6PA16320,House,1/3/17,1/23/64,61,bioguide_id,,Lloyd Smucker,104,"8 years, 8 months",8.67
Eric,Eric,Sorensen,Sorensen,,,,S001225,H2IL17147,House,1/3/23,3/18/76,49,bioguide_id,,Eric Sorensen,32,"2 years, 8 months",2.67
Darren,Darren,Soto,Soto,,,,S001200,H6FL09179,House,1/3/17,2/25/78,47,bioguide_id,,Darren Soto,104,"8 years, 8 months",8.67
Victoria,Victoria,Spartz,Spartz,,,,S000929,H0IN05326,House,1/3/21,10/6/78,46,bioguide_id,,Victoria Spartz,56,"4 years, 8 months",4.67
Melanie,Melanie,Stansbury,Stansbury,A.,,,S001218,H2NM01144,House,6/14/21,1/31/79,46,bioguide_id,,Melanie Stansbury,51,"4 years, 3 months",4.25
Greg,Greg,Stanton,Stanton,,,,S001211,H8AZ09040,House,1/3/19,3/8/70,55,bioguide_id,,Greg Stanton,80,"6 years, 8 months",6.67
Pete,Pete,Stauber,Stauber,,,,S001212,H8MN08043,House,1/3/19,5/10/66,59,bioguide_id,,Pete Stauber,80,"6 years, 8 months",6.67
Elise,Elise,Stefanik,Stefanik,M.,,,S001196,H4NY21079,House,1/3/15,7/2/84,41,bioguide_id,,Elise Stefanik,128,"10 years, 8 months",10.67
Bryan,Bryan,Steil,Steil,,,,S001213,H8WI01156,House,1/3/19,3/3/81,44,bioguide_id,,Bryan Steil,80,"6 years, 8 months",6.67
Greg,,Steube,,,,,,,House,1/3/19,5/19/78,47,,,Greg Steube,80,"6 years, 8 months",6.67
Haley,Haley,Stevens,Stevens,M.,,,S001215,S6MI00426,House,1/3/19,6/24/83,42,bioguide_id,,Haley Stevens,80,"6 years, 8 months",6.67
Marilyn,Marilyn,Strickland,Strickland,,,,S001159,H0WA10034,House,1/3/21,9/25/62,63,bioguide_id,,Marilyn Strickland,56,"4 years, 8 months",4.67
Dale,Dale,Strong,Strong,W.,,,S001220,H2AL05102,House,1/3/23,5/8/70,55,bioguide_id,,Dale Strong,32,"2 years, 8 months",2.67
Marlin,Marlin,Stutzman,Stutzman,A.,,,S001188,H0IN03198,House,1/3/25,8/31/76,49,bioguide_id,,Marlin Stutzman,8,8 months,0.67
Suhas,Suhas,Subramanyam,Subramanyam,,,,S001230,H4VA10279,House,1/3/25,9/26/86,39,bioguide_id,,Suhas Subramanyam,8,8 months,0.67
Dan,Dan,Sullivan,Sullivan,,,,S001198,S4AK00214,Senate,1/3/15,11/13/64,60,bioguide_id,,Dan Sullivan,128,"10 years, 8 months",10.67
Tom,,Suozzi,,,,,,,House,2/28/24,8/31/62,63,,,Tom Suozzi,19,"1 year, 7 months",1.58
Eric,Eric,Swalwell,Swalwell,,,,S001193,H2CA15094,House,1/3/13,11/16/80,44,bioguide_id,,Eric Swalwell,152,"12 years, 8 months",12.67
Emilia,Emilia Strong,Sykes,Sykes,,,,S001223,,House,1/3/23,1/4/86,39,bioguide_id,,Emilia Sykes,32,"2 years, 8 months",2.67
Mark,Mark,Takano,Takano,,,,T000472,H2CA43245,House,1/3/13,12/10/60,64,bioguide_id,,Mark Takano,152,"12 years, 8 months",12.67
David,David,Taylor,Taylor,J.,,,T000490,H4OH02248,House,1/3/25,11/16/69,55,bioguide_id,,David Taylor,8,8 months,0.67
Claudia,Claudia,Tenney,Tenney,,,,T000478,H4NY22051,House,1/3/21,2/4/61,64,bioguide_id,,Claudia Tenney,56,"4 years, 8 months",4.67
Shri,Shri,Thanedar,Thanedar,,,,T000488,H2MI13204,House,1/3/23,2/22/55,70,bioguide_id,,Shri Thanedar,32,"2 years, 8 months",2.67
Mike,Mike,Thompson,Thompson,,,,T000460,H8CA01109,House,1/3/99,1/24/51,74,bioguide_id,,Mike Thompson,320,"26 years, 8 months",26.67
Bennie,Bennie,Thompson,Thompson,G.,,,T000193,H4MS02068,House,4/13/93,1/28/48,77,bioguide_id,,Bennie Thompson,389,"32 years, 5 months",32.42
Glenn,Glenn,Thompson,Thompson,,,Jr.,T000467,H8PA05071,House,1/3/09,7/27/59,66,bioguide_id,,Glenn Thompson,200,"16 years, 8 months",16.67
John,John,Thune,Thune,,,,T000250,S2SD00068,Senate,1/3/05,1/7/61,64,bioguide_id,,John Thune,248,"20 years, 8 months",20.67
Tom,,Tiffany,,,,,,,House,5/19/20,12/30/57,67,,,Tom Tiffany,64,"5 years, 4 months",5.33
Thom,,Tillis,,,,,,,Senate,1/3/15,8/30/60,65,,,Thom Tillis,128,"10 years, 8 months",10.67
William,William,Timmons,Timmons,R.,,IV,T000480,H8SC04250,House,1/3/19,4/30/84,41,bioguide_id,,William Timmons,80,"6 years, 8 months",6.67
Dina,Dina,Titus,Titus,,,,T000468,H8NV03036,House,1/3/13,5/23/50,75,bioguide_id,,Dina Titus,152,"12 years, 8 months",12.67
Rashida,Rashida,Tlaib,Tlaib,,,,T000481,H8MI13250,House,1/3/19,7/24/76,49,bioguide_id,,Rashida Tlaib,80,"6 years, 8 months",6.67
Jill,Jill,Tokuda,Tokuda,N.,,,T000487,H2HI02581,House,1/3/23,3/3/76,49,bioguide_id,,Jill Tokuda,32,"2 years, 8 months",2.67
Paul,Paul,Tonko,Tonko,,,,T000469,H8NY21203,House,1/3/09,6/18/49,76,bioguide_id,,Paul Tonko,200,"16 years, 8 months",16.67
Norma,Norma,Torres,Torres,J.,,,T000474,H4CA35031,House,1/3/15,4/4/65,60,bioguide_id,,Norma Torres,128,"10 years, 8 months",10.67
Ritchie,Ritchie,Torres,Torres,,,,T000486,H0NY15160,House,1/3/21,3/12/88,37,bioguide_id,,Ritchie Torres,56,"4 years, 8 months",4.67
Lori,Lori,Trahan,Trahan,,,,T000482,H8MA03106,House,1/3/19,10/27/73,51,bioguide_id,,Lori Trahan,80,"6 years, 8 months",6.67
Derek,Derek,Tran,Tran,,,,T000491,H4CA45170,House,1/3/25,12/22/80,44,bioguide_id,,Derek Tran,8,8 months,0.67
Tommy,Tommy,Tuberville,Tuberville,,,,T000278,,Senate,1/3/21,9/18/54,71,bioguide_id,,Tommy Tuberville,56,"4 years, 8 months",4.67
Mike,,Turner,,,,,,,House,1/3/03,1/11/60,65,,,Mike Turner,272,"22 years, 8 months",22.67
Lauren,Lauren,Underwood,Underwood,,,,U000040,H8IL14174,House,1/3/19,10/4/86,38,bioguide_id,,Lauren Underwood,80,"6 years, 8 months",6.67
David,David,Valadao,Valadao,G.,,,V000129,H2CA20094,House,1/3/21,4/14/77,48,bioguide_id,,David Valadao,56,"4 years, 8 months",4.67
Chris,Chris,Van Hollen,Van Hollen,,,,V000128,S6MD03441,Senate,1/3/17,1/10/59,66,bioguide_id,,Chris Van Hollen,104,"8 years, 8 months",8.67
Juan,Juan,Vargas,Vargas,,,,V000130,H2CA50026,House,1/3/13,3/7/61,64,bioguide_id,,Juan Vargas,152,"12 years, 8 months",12.67
Gabe,Gabe,Vasquez,Vasquez,,,,V000136,H2NM02191,House,1/3/23,8/3/84,41,bioguide_id,,Gabe Vasquez,32,"2 years, 8 months",2.67
Marc,Marc,Veasey,Veasey,A.,,,V000131,H2TX33073,House,1/3/13,1/3/71,54,bioguide_id,,Marc Veasey,152,"12 years, 8 months",12.67
Nydia,Nydia,Velázquez,Velázquez,M.,,,V000081,H2NY00010,House,1/3/93,3/28/53,72,bioguide_id,,Nydia Velázquez,392,"32 years, 8 months",32.67
Eugene,Eugene Simon,Vindman,Vindman,,,,V000138,,House,1/3/25,6/6/75,50,bioguide_id,,Eugene Vindman,8,8 months,0.67
Ann,Ann,Wagner,Wagner,,,,W000812,H2MO02102,House,1/3/13,9/13/62,63,bioguide_id,,Ann Wagner,152,"12 years, 8 months",12.67
Tim,Tim,Walberg,Walberg,,,,W000798,H4MI07103,House,1/3/11,4/12/51,74,bioguide_id,,Tim Walberg,176,"14 years, 8 months",14.67
James,,Walkinshaw,,,,,W000831,,House,9/10/25,10/2/82,42,,,James Walkinshaw,0,0 months,0
Mark,Mark,Warner,Warner,R.,,,W000805,S6VA00093,Senate,1/3/09,12/15/54,70,bioguide_id,,Mark Warner,200,"16 years, 8 months",16.67
Raphael,Raphael,Warnock,Warnock,G.,,,W000790,S0GA00559,Senate,1/20/21,7/23/69,56,bioguide_id,,Raphael Warnock,56,"4 years, 8 months",4.67
Elizabeth,Elizabeth,Warren,Warren,,,,W000817,,Senate,1/3/13,6/22/49,76,bioguide_id,,Elizabeth Warren,152,"12 years, 8 months",12.67
Maxine,Maxine,Waters,Waters,,,,W000187,H4CA23011,House,1/3/91,8/15/38,87,bioguide_id,,Maxine Waters,416,"34 years, 8 months",34.67
Randy,Randy K. Sr.,Weber,Weber,,,,W000814,,House,1/3/13,7/2/53,72,bioguide_id,,Randy Weber,152,"12 years, 8 months",12.67
Daniel,Daniel,Webster,Webster,,,,W000806,H0FL08208,House,1/3/11,4/27/49,76,bioguide_id,,Daniel Webster,176,"14 years, 8 months",14.67
Peter,Peter,Welch,Welch,,,,W000800,S2VT00235,Senate,1/3/23,5/2/47,78,bioguide_id,,Peter Welch,32,"2 years, 8 months",2.67
Bruce,Bruce,Westerman,Westerman,,,,W000821,H4AR04048,House,1/3/15,11/18/67,57,bioguide_id,,Bruce Westerman,128,"10 years, 8 months",10.67
Sheldon,Sheldon,Whitehouse,Whitehouse,,,II,W000802,,Senate,1/3/07,10/20/55,69,bioguide_id,,Sheldon Whitehouse,224,"18 years, 8 months",18.67
George,George,Whitesides,Whitesides,,,,W000830,H4CA27111,House,1/3/25,3/3/74,51,bioguide_id,,George Whitesides,8,8 months,0.67
Roger,Roger,Wicker,Wicker,F.,,,W000437,,Senate,12/31/07,7/5/51,74,bioguide_id,,Roger Wicker,212,"17 years, 8 months",17.67
Tony,Tony,Wied,Wied,,,,W000829,H4WI08119,House,11/12/24,5/3/76,49,bioguide_id,,Tony Wied,10,10 months,0.83
Nikema,Nikema,Williams,Williams,,,,W000788,H0GA05301,House,1/3/21,7/30/78,47,bioguide_id,,Nikema Williams,56,"4 years, 8 months",4.67
Roger,Roger,Williams,Williams,,,,W000816,H2TX33040,House,1/3/13,9/13/49,76,bioguide_id,,Roger Williams,152,"12 years, 8 months",12.67
Frederica,Frederica,Wilson,Wilson,S.,,,W000808,H0FL17068,House,1/3/11,11/5/42,82,bioguide_id,,Frederica Wilson,176,"14 years, 8 months",14.67
Joe,Joe,Wilson,Wilson,,,Sr.,W000795,H2SC02059,House,12/18/01,7/31/47,78,bioguide_id,,Joe Wilson,285,"23 years, 9 months",23.75
Rob,,Wittman,,,,,,,House,12/11/07,2/3/59,66,,,Rob Wittman,213,"17 years, 9 months",17.75
Steve,Steve,Womack,Womack,,,,W000809,H0AR03055,House,1/3/11,2/18/57,68,bioguide_id,,Steve Womack,176,"14 years, 8 months",14.67
Ron,Ron,Wyden,Wyden,,,,W000779,S6OR00110,Senate,2/5/96,5/3/49,76,bioguide_id,,Ron Wyden,355,"29 years, 7 months",29.58
Rudy,Rudy,Yakym,Yakym,,,III,Y000067,H2IN02295,House,11/14/22,2/24/84,41,bioguide_id,,Rudy Yakym,34,"2 years, 10 months",2.83
Todd,Todd,Young,Young,,,,Y000064,S6IN00191,Senate,1/3/17,8/24/72,53,bioguide_id,,Todd Young,104,"8 years, 8 months",8.67
Ryan,Ryan,Zinke,Zinke,K.,,,Z000018,H4MT01041,House,1/3/23,11/1/61,63,bioguide_id,,Ryan Zinke,32,"2 years, 8 months",2.67
